amount,close,date,volume,high,low,open
69629633.66,159.88,2025-11-19,441546.0,163.05,152.0,159.0
45612985.72,148.33,2025-11-20,304599.0,152.95,147.15,151.0
42504901.69,144.21,2025-11-23,292596.0,150.2,141.17,149.0
48608641.8,147.73,2025-11-24,324867.0,153.93,146.37,146.66
78977556.32,156.95,2025-11-25,513487.0,161.8,142.71,144.87
59999006.55,155.09,2025-11-26,376807.0,165.0,154.68,155.02
54689570.71,158.0,2025-11-27,343895.0,162.86,155.45,159.2
55087112.63,158.32,2025-11-30,349619.0,161.85,151.48,158.02
61938943.46,161.98,2025-12-01,378904.0,166.63,158.5,158.5
67669460.59,173.45,2025-12-02,399308.0,176.99,163.48,164.0
114771438.95,187.12,2025-12-03,630059.0,189.89,170.18,170.18
69658142.55,198.75,2025-12-04,355998.0,205.0,188.88,192.99
161387392.19,237.3,2025-12-07,709414.0,238.5,198.75,198.75
135366484.08,240.15,2025-12-08,570519.0,241.96,231.98,236.0
110435262.77,235.36,2025-12-09,471638.0,240.99,229.5,238.6
125115538.09,219.68,2025-12-10,552964.0,233.8,219.02,231.0
86969306.31,215.16,2025-12-11,408024.0,221.21,206.0,218.9
66174566.05,209.62,2025-12-14,314020.0,216.97,207.12,207.97
38618460.88,199.3,2025-12-15,191298.0,209.38,197.59,206.02
107945982.78,217.73,2025-12-16,509673.0,219.5,199.6,201.29
97135738.33,218.81,2025-12-17,442464.0,224.04,213.29,215.23
79141497.73,214.03,2025-12-18,367101.0,223.01,209.12,222.46
127014651.78,223.0,2025-12-21,575111.0,226.6,213.76,218.0
78326618.57,222.28,2025-12-22,351949.0,227.97,219.8,223.49
90243798.51,223.07,2025-12-23,409903.0,225.55,214.89,221.23
84747454.81,214.8,2025-12-24,391358.0,230.0,209.09,223.59
48281691.24,213.31,2025-12-25,225801.0,217.54,210.6,213.87
55512602.29,212.77,2025-12-28,262027.0,215.87,208.01,210.75
40658634.23,212.47,2025-12-29,190385.0,217.37,209.1,209.9
62160555.11,203.03,2025-12-30,302644.0,212.58,201.59,212.58
51923770.97,203.6,2026-01-04,255360.0,206.98,200.0,206.98
62235129.25,201.76,2026-01-05,311351.0,203.0,196.72,200.03
61195921.58,202.18,2026-01-06,301668.0,206.77,199.89,205.0
56309452.73,195.25,2026-01-07,286023.0,200.95,195.02,199.99
67539877.81,199.0,2026-01-08,345058.0,201.74,188.62,191.36
78411393.64,202.41,2026-01-11,394649.0,204.83,191.64,196.1
67528100.57,190.0,2026-01-12,341669.0,207.28,189.0,200.39
47147683.71,191.5,2026-01-13,246435.0,194.85,188.88,192.27
60078738.65,193.68,2026-01-14,311798.0,197.11,188.01,189.5
71699683.31,198.0,2026-01-15,361022.0,204.57,193.04,196.3
43337618.23,193.22,2026-01-18,223697.0,198.56,191.29,193.89
44757272.29,184.6,2026-01-19,240158.0,193.17,182.72,191.51
33934282.96,188.73,2026-01-20,180056.0,192.28,183.6,183.85
96030119.71,199.98,2026-01-21,486858.0,200.65,186.41,188.7
66706415.24,189.16,2026-01-22,345707.0,199.77,188.31,198.99
55153126.3,195.95,2026-01-25,284221.0,198.48,186.88,188.6
84295771.56,210.06,2026-01-26,404817.0,217.18,197.6,197.6
102213038.37,219.57,2026-01-27,478470.0,221.98,205.3,216.0
98262609.17,224.0,2026-01-28,433801.0,234.65,219.0,219.0
153091415.38,248.43,2026-01-29,632297.0,261.5,220.7,220.89
132765804.48,238.49,2026-02-01,539022.0,259.5,234.81,249.78
133278043.5,270.0,2026-02-02,509372.0,272.35,250.99,252.0
94228227.13,266.66,2026-02-03,356725.0,275.18,252.22,272.01
95426945.51,251.9,2026-02-04,381246.0,261.44,244.44,253.33
94608065.93,252.72,2026-02-05,370981.0,267.99,242.0,253.62
138239203.57,297.9,2026-02-08,477850.0,303.56,266.53,277.0
77292711.38,287.87,2026-02-09,265511.0,300.99,283.03,291.45
77199366.39,288.5,2026-02-10,265173.0,298.99,285.07,286.8
129981611.57,330.0,2026-02-11,408989.0,333.3,298.03,300.0
89389971.36,311.58,2026-02-12,284271.0,325.95,309.0,323.56
