amount,close,date,volume,high,low,open
5867554.64,9.61,2025-11-19,606510.0,9.87,9.59,9.86
6796232.66,9.24,2025-11-20,722255.0,9.7,9.23,9.49
6117834.21,9.5,2025-11-23,650775.0,9.58,9.24,9.32
8843837.57,9.79,2025-11-24,906170.0,9.96,9.43,9.48
6301094.56,9.74,2025-11-25,642376.0,9.93,9.72,9.78
3936766.73,9.56,2025-11-26,406549.0,9.79,9.56,9.72
3708960.48,9.72,2025-11-27,385473.0,9.73,9.49,9.55
12907862.64,10.07,2025-11-30,1265248.0,10.46,10.07,10.15
5655061.12,9.84,2025-12-01,570240.0,10.17,9.83,10.17
1985156.81,9.7,2025-12-02,202755.0,9.94,9.7,9.83
7672590.83,9.88,2025-12-03,775152.0,10.08,9.73,9.74
4054050.64,10.07,2025-12-04,406648.0,10.08,9.78,9.87
11548094.48,10.19,2025-12-07,1124155.0,10.43,10.11,10.11
6178105.65,9.98,2025-12-08,614886.0,10.19,9.97,10.08
6292216.23,9.94,2025-12-09,631863.0,10.14,9.83,9.91
6348606.36,9.62,2025-12-10,653004.0,9.95,9.6,9.95
3603282.9,9.76,2025-12-11,369990.0,9.88,9.6,9.61
4848819.84,9.46,2025-12-14,509126.0,9.72,9.44,9.72
3094189.72,9.08,2025-12-15,336486.0,9.45,9.08,9.45
3369202.9,9.16,2025-12-16,370658.0,9.18,9.0,9.07
3762942.05,9.25,2025-12-17,406284.0,9.42,9.08,9.09
3403385.61,9.38,2025-12-18,364381.0,9.42,9.2,9.25
2862875.1,9.35,2025-12-21,305124.0,9.42,9.33,9.38
2863717.23,9.2,2025-12-22,309843.0,9.34,9.17,9.31
4181318.78,9.43,2025-12-23,447476.0,9.47,9.15,9.15
3308046.33,9.46,2025-12-24,351663.0,9.5,9.35,9.38
4790515.85,9.43,2025-12-25,503556.0,9.68,9.4,9.47
11659190.31,9.98,2025-12-28,1188041.0,10.13,9.45,9.45
4878898.57,9.67,2025-12-29,499444.0,9.9,9.67,9.9
6278130.3,9.85,2025-12-30,641193.0,9.98,9.63,9.65
4716278.05,9.87,2026-01-04,480152.0,9.91,9.72,9.8
7820668.93,10.01,2026-01-05,782310.0,10.1,9.81,9.85
18286030.45,11.01,2026-01-06,1670575.0,11.01,10.54,10.54
19480710.42,12.11,2026-01-07,1630592.0,12.11,11.57,11.68
23300185.07,13.32,2026-01-08,1755461.0,13.32,13.03,13.32
14311647.87,14.65,2026-01-11,977246.0,14.65,14.51,14.65
79856540.56,15.39,2026-01-12,5271503.0,16.12,14.1,16.12
56754599.91,14.86,2026-01-13,3734332.0,15.99,14.26,15.4
41791659.05,14.9,2026-01-14,2817151.0,15.4,14.22,14.29
28519486.77,13.41,2026-01-15,2030817.0,14.86,13.41,14.29
25014185.1,12.07,2026-01-18,2018835.0,13.0,12.07,12.95
18554816.85,11.8,2026-01-19,1552527.0,12.42,11.73,12.39
10385771.61,11.7,2026-01-20,882950.0,11.95,11.65,11.77
12190115.63,11.87,2026-01-21,1032288.0,11.9,11.67,11.79
23341342.16,12.4,2026-01-22,1897911.0,12.68,11.9,12.05
14009215.87,11.88,2026-01-25,1156403.0,12.72,11.77,12.48
7393647.19,11.82,2026-01-26,630820.0,11.97,11.54,11.8
7112415.89,11.59,2026-01-27,608540.0,11.9,11.55,11.82
11444031.29,11.72,2026-01-28,967123.0,12.05,11.36,11.52
8563397.94,11.36,2026-01-29,749481.0,11.69,11.24,11.61
6797457.76,11.12,2026-02-01,599939.0,11.53,11.12,11.38
6177989.3,11.53,2026-02-02,540378.0,11.53,11.27,11.27
5440304.57,11.37,2026-02-03,479106.0,11.48,11.27,11.44
5668916.02,11.33,2026-02-04,499407.0,11.43,11.28,11.28
5319639.23,11.29,2026-02-05,469867.0,11.42,11.17,11.32
9476038.43,11.75,2026-02-08,813086.0,11.75,11.46,11.46
15325256.16,11.94,2026-02-09,1287213.0,12.1,11.66,11.74
7901125.64,11.7,2026-02-10,673617.0,11.84,11.67,11.8
6682887.68,11.65,2026-02-11,576189.0,11.71,11.49,11.65
7218126.8,11.41,2026-02-12,627516.0,11.67,11.4,11.6
