amount,close,date,volume,high,low,open
6969526.3,13.05,2025-11-19,537903.0,13.28,12.67,12.76
6182161.58,12.1,2025-11-20,496545.0,13.08,12.05,12.87
3832643.55,12.35,2025-11-23,310648.0,12.58,12.0,12.22
4407186.83,12.24,2025-11-24,357165.0,12.55,12.17,12.5
4910296.58,12.44,2025-11-25,393729.0,12.75,12.22,12.3
3838880.71,12.23,2025-11-26,309220.0,12.67,12.19,12.52
5129478.55,12.59,2025-11-27,413168.0,12.68,11.97,12.08
4039492.17,12.63,2025-11-30,318770.0,12.8,12.54,12.74
3806858.57,12.71,2025-12-01,299924.0,12.82,12.47,12.63
3339216.4,12.86,2025-12-02,261054.0,12.98,12.65,12.69
3628618.03,12.69,2025-12-03,283064.0,13.09,12.62,12.89
3011781.14,12.97,2025-12-04,233595.0,13.0,12.62,12.62
5971736.13,13.16,2025-12-07,454918.0,13.35,12.96,13.1
5524860.5,13.11,2025-12-08,421575.0,13.37,12.87,13.01
3989094.48,13.05,2025-12-09,307752.0,13.18,12.76,13.18
6518598.19,13.18,2025-12-10,491843.0,13.43,12.96,13.17
4755410.92,13.3,2025-12-11,356527.0,13.49,13.08,13.28
6679623.22,13.6,2025-12-14,492316.0,13.71,13.16,13.16
7787308.1,13.71,2025-12-15,563892.0,14.1,13.5,13.8
15127148.76,14.27,2025-12-16,1073023.0,14.63,13.53,13.74
11149371.19,13.97,2025-12-17,786264.0,14.57,13.91,14.0
7375220.71,14.03,2025-12-18,525817.0,14.3,13.79,14.01
12966266.01,14.78,2025-12-21,879903.0,15.04,14.3,14.3
14058029.59,16.26,2025-12-22,890999.0,16.26,14.78,14.78
19961268.68,15.0,2025-12-23,1313245.0,16.17,14.95,16.17
11437877.41,14.39,2025-12-24,788549.0,14.88,14.28,14.88
17769767.82,15.25,2025-12-25,1186184.0,15.69,14.39,14.59
13518964.81,14.64,2025-12-28,903879.0,15.56,14.58,15.56
5319721.62,14.44,2025-12-29,369397.0,14.69,14.08,14.19
5863073.4,14.18,2025-12-30,408870.0,14.62,14.12,14.35
4930558.04,14.44,2026-01-04,342441.0,14.58,14.17,14.32
11040083.82,15.0,2026-01-05,739438.0,15.27,14.56,14.65
16905948.54,15.97,2026-01-06,1080720.0,16.05,15.03,15.03
12378848.56,15.64,2026-01-07,785259.0,16.13,15.48,15.7
19037628.58,16.96,2026-01-08,1129862.0,17.2,15.85,15.86
18249464.74,16.65,2026-01-11,1103738.0,17.21,16.18,17.2
9172270.21,16.44,2026-01-12,556493.0,16.74,16.24,16.61
14694782.16,17.35,2026-01-13,852171.0,17.77,16.57,16.57
13370241.9,18.19,2026-01-14,748642.0,18.27,17.17,17.34
13173760.73,18.02,2026-01-15,716432.0,18.92,17.68,18.2
14425488.51,19.24,2026-01-18,758492.0,19.76,17.99,18.02
21692729.61,19.42,2026-01-19,1157099.0,19.86,17.67,19.53
15429195.15,20.6,2026-01-20,768736.0,20.67,19.07,19.56
17800421.33,20.05,2026-01-21,884048.0,20.99,19.66,20.29
17333888.09,20.97,2026-01-22,842345.0,21.5,19.81,20.19
15054540.03,23.07,2026-01-25,669399.0,23.07,21.23,21.23
20692278.45,23.53,2026-01-26,873439.0,24.59,22.9,23.12
20878674.48,25.37,2026-01-27,874110.0,25.4,22.91,23.29
22068057.86,23.95,2026-01-28,900909.0,26.18,23.44,25.46
17915795.8,22.79,2026-01-29,798698.0,24.4,21.56,22.3
15918886.45,22.3,2026-02-01,700542.0,23.76,21.52,21.52
12110937.76,23.19,2026-02-02,530444.0,23.32,22.18,22.74
9510150.87,22.86,2026-02-03,416839.0,23.68,22.35,23.65
10391041.92,22.55,2026-02-04,462314.0,23.35,21.79,22.55
20180493.01,24.63,2026-02-05,839465.0,24.81,22.53,22.53
18126635.79,25.19,2026-02-08,716206.0,26.0,24.42,24.93
13288273.71,25.13,2026-02-09,526949.0,26.01,24.74,25.49
15293407.33,27.64,2026-02-10,567104.0,27.64,25.0,25.0
29570435.78,30.4,2026-02-11,987721.0,30.4,28.2,28.38
37370904.91,30.57,2026-02-12,1195178.0,32.38,30.43,31.47
