amount,close,date,volume,high,low,open
11343764.8,4.95,2025-11-19,2291825.0,5.06,4.76,4.88
16178051.02,5.05,2025-11-20,3221842.0,5.18,4.86,4.86
17077245.17,5.22,2025-11-23,3326101.0,5.28,4.94,5.0
26600259.73,5.33,2025-11-24,5013264.0,5.5,5.12,5.18
14932072.25,5.13,2025-11-25,2874550.0,5.28,5.1,5.2
9095378.18,4.96,2025-11-26,1809341.0,5.11,4.95,5.1
5904147.11,4.95,2025-11-27,1190222.0,5.03,4.92,4.94
7660519.28,5.03,2025-11-30,1519450.0,5.12,4.95,5.0
7198347.86,4.86,2025-12-01,1470136.0,4.98,4.85,4.98
3505837.73,4.7,2025-12-02,734405.0,4.89,4.7,4.88
3337519.0,4.66,2025-12-03,712821.0,4.73,4.66,4.7
1556434.07,4.71,2025-12-04,333361.0,4.71,4.63,4.7
4241381.88,4.71,2025-12-07,898804.0,4.75,4.68,4.68
4001181.27,4.62,2025-12-08,859238.0,4.71,4.61,4.68
2835130.7,4.63,2025-12-09,614867.0,4.64,4.58,4.6
3765930.74,4.51,2025-12-10,828802.0,4.64,4.5,4.64
2296436.78,4.5,2025-12-11,508886.0,4.54,4.49,4.5
2833605.57,4.46,2025-12-14,632317.0,4.52,4.43,4.47
1568184.74,4.38,2025-12-15,355963.0,4.47,4.37,4.46
2977419.03,4.44,2025-12-16,677132.0,4.45,4.35,4.39
2650715.03,4.45,2025-12-17,593572.0,4.5,4.4,4.42
2675356.15,4.5,2025-12-18,597497.0,4.51,4.44,4.48
2489756.94,4.48,2025-12-21,554095.0,4.51,4.48,4.5
2533145.25,4.42,2025-12-22,570163.0,4.48,4.42,4.48
2091613.65,4.46,2025-12-23,470764.0,4.46,4.41,4.41
2670782.73,4.47,2025-12-24,598556.0,4.49,4.43,4.46
3052211.77,4.48,2025-12-25,680356.0,4.52,4.45,4.47
2913301.96,4.42,2025-12-28,654483.0,4.5,4.42,4.48
1806429.06,4.47,2025-12-29,404625.0,4.51,4.42,4.42
6559523.95,4.59,2025-12-30,1430035.0,4.65,4.46,4.46
33764246.58,5.34,2026-01-04,6518520.0,5.51,4.72,4.72
27926321.34,5.14,2026-01-05,5415408.0,5.29,5.07,5.29
18259420.65,5.03,2026-01-06,3583069.0,5.25,4.98,5.16
18681673.9,5.13,2026-01-07,3657398.0,5.25,4.94,5.02
29384659.48,5.4,2026-01-08,5578580.0,5.45,5.07,5.07
44248988.51,5.9,2026-01-11,7633357.0,6.11,5.43,5.53
42017478.06,6.0,2026-01-12,6992801.0,6.6,5.65,6.0
33729825.74,6.04,2026-01-13,5518534.0,6.38,5.81,5.81
24033821.96,5.72,2026-01-14,4190901.0,5.98,5.59,5.98
16558714.89,5.36,2026-01-15,3030740.0,5.67,5.35,5.65
8810424.23,5.27,2026-01-18,1658852.0,5.41,5.25,5.29
9607281.58,5.22,2026-01-19,1825553.0,5.39,5.16,5.33
5315664.44,5.19,2026-01-20,1021998.0,5.28,5.15,5.18
8784415.16,5.28,2026-01-21,1667216.0,5.34,5.2,5.21
11511737.47,5.41,2026-01-22,2138043.0,5.46,5.25,5.3
8607869.67,5.2,2026-01-25,1645579.0,5.44,5.13,5.41
5511862.48,5.17,2026-01-26,1070049.0,5.26,5.06,5.2
6442735.45,5.1,2026-01-27,1244513.0,5.28,5.1,5.14
15729509.18,5.25,2026-01-28,2960137.0,5.44,5.0,5.07
8568505.87,5.11,2026-01-29,1667139.0,5.26,5.08,5.2
8692921.15,4.9,2026-02-01,1743464.0,5.09,4.9,4.96
6622023.87,5.09,2026-02-02,1312599.0,5.1,4.97,4.97
5878994.0,4.99,2026-02-03,1183775.0,5.07,4.92,5.04
5080640.54,4.97,2026-02-04,1019217.0,5.02,4.93,4.95
4357393.28,4.92,2026-02-05,886347.0,4.99,4.81,4.94
7876535.34,5.14,2026-02-08,1543874.0,5.15,5.0,5.0
14681996.22,5.34,2026-02-09,2767484.0,5.44,5.11,5.17
9612086.28,5.2,2026-02-10,1825065.0,5.37,5.18,5.32
7192768.57,5.16,2026-02-11,1398816.0,5.23,5.08,5.2
7304685.36,5.02,2026-02-12,1433953.0,5.2,5.02,5.14
