amount,close,date,volume,high,low,open
1326843.49,62.2,2025-11-19,21384.0,63.8,60.92,63.59
2232555.15,62.04,2025-11-20,35480.0,64.27,60.51,60.51
7647098.59,70.06,2025-11-23,112292.0,72.0,62.57,64.2
6576327.72,71.71,2025-11-24,91712.0,73.07,69.99,71.17
3203975.39,70.52,2025-11-25,45345.0,72.18,69.52,70.7
2037612.78,68.43,2025-11-26,29464.0,70.45,68.12,70.45
2566464.28,67.75,2025-11-27,38077.0,69.11,66.39,68.21
4417604.96,71.88,2025-11-30,62603.0,71.88,67.58,67.58
2108305.84,69.09,2025-12-01,30367.0,71.83,68.6,70.43
1298899.34,67.43,2025-12-02,19017.0,70.3,67.0,70.28
1441829.45,65.64,2025-12-03,21975.0,67.15,65.01,66.89
1140651.28,66.31,2025-12-04,17212.0,67.85,65.48,65.87
1577517.11,66.95,2025-12-07,23579.0,67.67,65.55,66.49
2149518.96,64.74,2025-12-08,32640.0,68.56,63.72,66.86
1552723.94,64.1,2025-12-09,24403.0,64.92,62.78,64.83
1401783.46,62.61,2025-12-10,22268.0,64.38,62.35,63.47
2694952.78,65.5,2025-12-11,41020.0,67.85,62.61,62.61
1753589.69,66.19,2025-12-14,26348.0,67.93,65.43,65.67
1324153.57,63.6,2025-12-15,20690.0,66.76,62.87,66.01
1070165.94,64.48,2025-12-16,16780.0,64.5,62.91,63.8
2791155.54,66.02,2025-12-17,41815.0,68.24,63.98,65.33
2156903.46,66.13,2025-12-18,31702.0,70.5,65.9,66.5
1844095.71,66.82,2025-12-21,27474.0,68.1,65.25,66.13
2680275.37,67.97,2025-12-22,39575.0,69.24,66.13,66.13
1479786.65,67.55,2025-12-23,21945.0,68.49,66.8,67.47
2372699.23,68.0,2025-12-24,34927.0,69.01,66.55,67.13
4742121.14,72.74,2025-12-25,66547.0,73.38,67.2,68.01
2301476.35,72.1,2025-12-28,31612.0,74.49,71.26,72.9
1427515.65,71.98,2025-12-29,19642.0,74.2,71.5,72.88
4225627.83,76.57,2025-12-30,55885.0,78.0,71.68,72.1
6704590.11,91.88,2026-01-04,77391.0,91.88,78.5,78.87
10111465.04,100.11,2026-01-05,106059.0,100.45,91.88,91.88
8225950.14,94.48,2026-01-06,86535.0,98.09,92.22,95.0
7213980.95,95.1,2026-01-07,75993.0,97.26,92.77,95.33
10587288.56,109.9,2026-01-08,105159.0,109.9,94.03,94.78
10132343.43,131.88,2026-01-11,79744.0,131.88,120.0,120.0
21821769.51,149.2,2026-01-12,145920.0,158.26,139.99,158.26
22097079.53,164.0,2026-01-13,134016.0,179.04,144.0,149.21
13932570.58,131.2,2026-01-14,103353.0,144.96,131.2,144.96
9952629.71,123.98,2026-01-15,77588.0,135.88,121.32,130.42
7209133.7,129.07,2026-01-18,55745.0,133.49,121.8,121.99
9055645.98,130.0,2026-01-19,68689.0,136.97,124.73,133.39
6665711.05,132.0,2026-01-20,50854.0,135.96,124.0,129.03
9295755.14,137.02,2026-01-21,68303.0,143.46,129.0,131.0
10630569.26,149.08,2026-01-22,72544.0,152.58,135.1,138.04
8721667.78,160.6,2026-01-25,56849.0,161.2,143.66,154.0
6849730.77,161.08,2026-01-26,43423.0,164.87,149.75,156.59
8589720.61,141.2,2026-01-27,56601.0,160.0,140.13,159.99
17197363.36,155.2,2026-01-28,106361.0,169.44,143.93,144.0
11826138.83,152.33,2026-01-29,78006.0,155.97,146.99,155.0
8924119.0,143.0,2026-02-01,60379.0,153.91,142.6,149.9
9048831.56,147.09,2026-02-02,61935.0,150.5,142.0,147.98
12107713.33,132.3,2026-02-03,90261.0,147.0,128.61,145.0
6017321.3,132.15,2026-02-04,45774.0,133.93,129.0,130.0
4849760.12,126.78,2026-02-05,37659.0,132.49,126.78,129.0
7940957.86,140.0,2026-02-08,58439.0,142.87,128.23,132.46
5866021.09,137.94,2026-02-09,42315.0,142.0,135.7,140.01
6304853.75,140.22,2026-02-10,45208.0,142.31,136.81,139.5
8724758.96,137.35,2026-02-11,62717.0,144.98,133.51,143.02
10614289.38,127.65,2026-02-12,80368.0,142.99,126.16,142.33
