amount,close,date,volume,high,low,open
3233615.26,11.31,2025-11-19,283816.0,11.63,11.28,11.55
4682578.53,11.06,2025-11-20,419590.0,11.42,11.03,11.21
4582337.22,11.42,2025-11-23,405213.0,11.47,11.11,11.15
4190561.03,11.47,2025-11-24,363079.0,11.63,11.38,11.4
3354152.55,11.34,2025-11-25,293427.0,11.67,11.3,11.57
2406374.14,11.21,2025-11-26,213301.0,11.42,11.2,11.42
3509104.83,11.45,2025-11-27,308625.0,11.46,11.21,11.26
8159157.52,11.42,2025-11-30,705344.0,11.75,11.4,11.72
4727775.42,11.21,2025-12-01,421800.0,11.38,11.15,11.38
1569849.2,11.15,2025-12-02,140467.0,11.27,11.12,11.17
3232552.88,11.12,2025-12-03,289150.0,11.29,11.1,11.15
1299629.86,11.18,2025-12-04,117029.0,11.18,11.0,11.13
4387650.67,11.14,2025-12-07,392369.0,11.32,11.09,11.13
4588942.66,11.2,2025-12-08,408485.0,11.35,11.13,11.15
8331271.35,11.49,2025-12-09,728212.0,11.66,11.11,11.13
5178485.05,11.36,2025-12-10,452270.0,11.63,11.35,11.48
4689946.58,11.49,2025-12-11,409865.0,11.53,11.33,11.35
3390775.94,11.31,2025-12-14,298223.0,11.51,11.29,11.44
3169888.88,11.03,2025-12-15,287171.0,11.25,10.91,11.25
4478912.87,11.29,2025-12-16,401549.0,11.33,10.95,10.96
4165444.29,11.41,2025-12-17,364681.0,11.5,11.21,11.22
6814268.89,11.64,2025-12-18,594022.0,11.74,11.17,11.38
5920168.59,11.26,2025-12-21,520955.0,11.52,11.24,11.5
2992168.8,11.14,2025-12-22,267549.0,11.28,11.12,11.25
2873259.02,11.16,2025-12-23,257559.0,11.19,11.12,11.15
3540085.76,11.12,2025-12-24,318110.0,11.18,11.08,11.14
4236919.17,11.08,2025-12-25,382457.0,11.13,11.01,11.11
4792174.36,11.03,2025-12-28,433933.0,11.16,10.97,11.08
3935478.42,11.28,2025-12-29,352155.0,11.31,10.97,10.97
5638140.39,11.32,2025-12-30,500211.0,11.42,11.14,11.25
5199627.71,11.41,2026-01-04,458910.0,11.42,11.22,11.28
6355603.68,11.41,2026-01-05,555584.0,11.54,11.37,11.42
4626368.68,11.36,2026-01-06,406301.0,11.51,11.3,11.44
5268621.67,11.39,2026-01-07,463000.0,11.47,11.3,11.32
6326219.29,11.45,2026-01-08,555167.0,11.45,11.34,11.37
11723022.52,11.59,2026-01-11,1011646.0,11.65,11.52,11.55
12280798.67,11.63,2026-01-12,1047349.0,11.94,11.49,11.68
8560085.86,11.59,2026-01-13,734982.0,11.84,11.43,11.59
5885134.08,11.5,2026-01-14,510176.0,11.74,11.41,11.55
5881059.97,11.23,2026-01-15,519571.0,11.52,11.2,11.5
4094742.29,11.36,2026-01-18,360366.0,11.47,11.18,11.2
4306355.58,11.26,2026-01-19,381267.0,11.43,11.2,11.36
3121009.52,11.31,2026-01-20,276913.0,11.35,11.16,11.2
4678999.13,11.37,2026-01-21,411662.0,11.44,11.31,11.34
6438378.05,11.62,2026-01-22,556189.0,11.64,11.39,11.42
6173176.51,11.75,2026-01-25,525922.0,11.93,11.62,11.66
3541629.06,11.71,2026-01-26,303367.0,11.81,11.55,11.7
5698287.12,11.53,2026-01-27,489816.0,11.79,11.5,11.58
7781813.73,11.63,2026-01-28,667906.0,11.8,11.37,11.43
10093606.29,11.84,2026-01-29,855183.0,11.92,11.55,11.58
14180371.48,11.76,2026-02-01,1178699.0,12.29,11.75,11.96
7784990.37,11.95,2026-02-02,652011.0,12.09,11.81,12.01
7340581.93,11.74,2026-02-03,625924.0,11.99,11.63,11.83
16216474.99,12.07,2026-02-04,1346960.0,12.16,11.7,11.7
19047393.07,12.56,2026-02-05,1531373.0,12.9,11.91,12.35
16686379.67,12.61,2026-02-08,1319703.0,12.87,12.46,12.69
31196584.38,13.87,2026-02-09,2345838.0,13.87,12.47,12.65
26799763.83,12.48,2026-02-10,2086843.0,13.33,12.48,13.14
13968179.53,12.2,2026-02-11,1143696.0,12.51,12.05,12.48
16775526.36,12.49,2026-02-12,1350473.0,12.62,12.16,12.21
