amount,close,date,volume,high,low,open
1788227.94,40.05,2025-11-19,44681.0,40.56,39.66,40.26
5190394.82,40.47,2025-11-20,129300.0,41.35,38.88,39.5
3883465.84,41.12,2025-11-23,94589.0,41.59,40.4,40.95
4799056.08,41.35,2025-11-24,115084.0,42.3,40.95,41.39
3506997.19,40.85,2025-11-25,84916.0,42.01,40.83,41.8
2338361.14,40.68,2025-11-26,57231.0,41.35,40.19,40.74
9728975.55,43.39,2025-11-27,228639.0,43.49,41.39,41.39
12809049.77,44.29,2025-11-30,286082.0,45.96,43.9,43.9
10734999.01,45.12,2025-12-01,239017.0,45.94,43.46,44.01
4667837.43,43.71,2025-12-02,106275.0,44.88,43.1,44.75
7072303.83,44.18,2025-12-03,160295.0,44.96,43.28,43.4
4734050.97,45.2,2025-12-04,105389.0,45.53,43.8,43.98
15138554.74,45.1,2025-12-07,327653.0,47.5,44.71,45.9
8782818.71,44.09,2025-12-08,197369.0,45.38,43.87,44.97
16845429.11,47.15,2025-12-09,359882.0,48.5,44.69,44.83
14055697.38,47.54,2025-12-10,295278.0,48.48,46.5,47.16
12651500.37,47.78,2025-12-11,267027.0,49.55,46.41,47.43
16675820.12,47.75,2025-12-14,344464.0,49.36,47.01,47.38
9005922.18,45.35,2025-12-15,197919.0,47.32,44.8,47.32
7689187.07,44.95,2025-12-16,171041.0,46.06,44.24,45.22
23868565.58,49.8,2025-12-17,486123.0,52.1,44.36,44.36
17169203.21,49.62,2025-12-18,339629.0,52.5,49.31,50.66
13171673.09,49.75,2025-12-21,263937.0,51.08,49.14,50.0
14702633.71,47.65,2025-12-22,302598.0,50.25,47.15,50.0
13592372.92,48.51,2025-12-23,282948.0,49.15,46.72,47.0
18330406.81,51.96,2025-12-24,362638.0,52.1,48.2,48.21
21460875.21,53.31,2025-12-25,407637.0,54.32,51.01,51.3
19406055.78,54.41,2025-12-28,357681.0,55.49,52.44,53.32
12290434.58,53.12,2025-12-29,229019.0,55.06,52.88,53.5
22585051.14,59.0,2025-12-30,399471.0,60.5,53.2,53.23
23736638.87,59.59,2026-01-04,391538.0,62.46,58.89,60.0
26445112.53,61.96,2026-01-05,444701.0,62.58,57.51,59.06
23409381.95,58.21,2026-01-06,400537.0,60.1,57.4,60.0
22079224.89,61.0,2026-01-07,368537.0,61.78,57.57,57.7
30127865.4,65.91,2026-01-08,459805.0,69.8,60.64,61.11
36105108.78,79.09,2026-01-11,481656.0,79.09,68.1,68.89
52238556.04,84.25,2026-01-12,636479.0,92.78,70.56,81.34
45451557.3,95.98,2026-01-13,497214.0,99.94,81.95,84.25
45107270.16,77.66,2026-01-14,552702.0,90.0,76.85,90.0
29108480.4,80.24,2026-01-15,354220.0,85.99,79.49,81.01
20399475.3,78.16,2026-01-18,255515.0,82.0,77.98,79.39
22372060.39,74.8,2026-01-19,294677.0,79.7,73.81,78.88
10976491.44,73.5,2026-01-20,148046.0,76.09,73.11,74.78
19104223.8,74.68,2026-01-21,256530.0,75.61,72.6,73.2
40188745.23,86.66,2026-01-22,496360.0,87.16,74.82,75.78
29038824.53,77.1,2026-01-25,365712.0,82.75,76.03,82.01
15026066.35,75.66,2026-01-26,195807.0,78.99,74.87,75.3
14368410.81,73.95,2026-01-27,192990.0,76.49,73.02,75.71
15625356.04,74.19,2026-01-28,209019.0,76.1,72.96,73.14
16270332.28,70.7,2026-01-29,230314.0,73.87,69.16,73.1
14290495.28,68.09,2026-02-01,204060.0,73.08,68.02,72.11
13633084.98,70.87,2026-02-02,194940.0,71.26,67.8,69.26
10908079.98,69.89,2026-02-03,156775.0,71.3,68.52,70.87
11024265.31,67.5,2026-02-04,161868.0,69.65,67.1,68.01
7340474.83,66.74,2026-02-05,108508.0,69.08,66.72,67.0
7592987.06,67.61,2026-02-08,112518.0,68.74,66.63,68.58
6800196.59,66.76,2026-02-09,101776.0,67.8,66.07,67.66
6693574.53,66.78,2026-02-10,99563.0,68.33,66.61,67.2
6766566.79,66.42,2026-02-11,101757.0,67.01,66.01,67.01
8028869.42,65.1,2026-02-12,121813.0,66.84,65.1,66.25
