amount,close,date,volume,high,low,open
551785.14,53.26,2025-11-19,10295.0,54.11,53.2,53.99
966410.58,53.29,2025-11-20,18130.0,53.68,52.63,53.63
1033538.46,54.21,2025-11-23,19132.0,54.3,53.12,53.42
947946.33,54.17,2025-11-24,17502.0,54.5,53.75,54.2
944063.74,53.57,2025-11-25,17533.0,54.3,53.51,54.16
632428.12,53.81,2025-11-26,11715.0,54.24,53.56,53.56
830917.8,54.43,2025-11-27,15319.0,54.43,53.86,54.0
1357045.29,54.71,2025-11-30,24765.0,55.16,54.23,54.42
981243.62,54.63,2025-12-01,17966.0,54.96,54.25,54.52
459912.59,53.95,2025-12-02,8493.0,54.8,53.84,54.68
1047322.95,54.51,2025-12-03,19275.0,54.59,53.8,53.95
499345.72,54.54,2025-12-04,9208.0,54.54,53.9,54.38
1816777.58,54.4,2025-12-07,33006.0,55.96,54.38,54.65
1245618.59,53.88,2025-12-08,22969.0,54.87,53.78,54.2
1473498.51,54.0,2025-12-09,27353.0,54.45,53.32,53.72
2153243.93,54.55,2025-12-10,39413.0,55.15,54.02,54.08
3974472.8,55.15,2025-12-11,72417.0,55.68,54.01,54.53
4097220.69,55.66,2025-12-14,73581.0,56.18,54.84,55.44
2064261.56,53.1,2025-12-15,38282.0,55.78,53.08,55.72
2174549.37,52.2,2025-12-16,41716.0,53.15,51.58,53.0
6119052.99,55.53,2025-12-17,109565.0,57.78,51.92,51.98
3652657.4,55.74,2025-12-18,65129.0,57.0,55.54,55.58
2622917.9,55.02,2025-12-21,47207.0,56.36,55.0,55.84
3288995.66,54.71,2025-12-22,59314.0,56.73,54.6,55.29
2872803.15,55.91,2025-12-23,51851.0,56.15,54.34,54.72
5291107.22,57.5,2025-12-24,92314.0,57.99,55.55,55.7
3622619.68,57.0,2025-12-25,63396.0,57.72,56.51,57.3
4467180.58,57.63,2025-12-28,77509.0,58.35,56.86,57.0
2589102.92,56.88,2025-12-29,45229.0,58.0,56.59,57.15
4641221.23,58.45,2025-12-30,79896.0,58.97,56.7,56.7
3676729.17,57.91,2026-01-04,63348.0,59.07,57.54,59.0
5590424.27,60.06,2026-01-05,95293.0,60.5,57.0,57.7
4266499.28,59.76,2026-01-06,71699.0,60.31,58.59,59.22
6538575.16,62.29,2026-01-07,106168.0,62.99,59.3,59.39
8890680.68,62.26,2026-01-08,140859.0,65.48,61.46,63.09
10406881.64,68.08,2026-01-11,158871.0,68.88,62.58,63.11
7137200.18,62.4,2026-01-12,111965.0,67.88,62.1,67.88
4231811.2,61.28,2026-01-13,67950.0,63.76,60.6,62.4
3215980.11,60.35,2026-01-14,53555.0,60.88,59.2,60.61
1928447.77,60.73,2026-01-15,31909.0,60.97,59.67,60.8
4251736.26,64.61,2026-01-18,67903.0,64.97,60.12,60.5
4350444.16,62.63,2026-01-19,68579.0,66.0,61.5,64.01
5045554.47,65.5,2026-01-20,77719.0,66.48,62.05,62.05
5454312.76,66.97,2026-01-21,81354.0,68.8,64.82,64.82
5238408.71,67.4,2026-01-22,77413.0,69.69,66.01,67.13
5097951.92,69.0,2026-01-25,76059.0,70.43,65.01,67.4
5630128.58,73.61,2026-01-26,78844.0,75.54,66.61,68.31
3677118.92,70.77,2026-01-27,51271.0,73.35,70.51,73.0
3573634.33,68.4,2026-01-28,51131.0,72.36,68.38,71.28
3188806.01,66.59,2026-01-29,47968.0,69.22,65.3,67.99
5496218.33,69.0,2026-02-01,78799.0,71.77,67.1,67.15
5177006.86,71.7,2026-02-02,71928.0,73.95,68.92,68.92
3383240.78,70.4,2026-02-03,47715.0,72.74,69.5,71.19
5312692.96,73.23,2026-02-04,72977.0,74.5,69.36,69.82
2666909.83,71.93,2026-02-05,37177.0,73.46,70.07,72.02
2274543.06,72.44,2026-02-08,31434.0,73.26,71.15,72.8
2251099.3,70.79,2026-02-09,31496.0,72.78,70.5,72.38
1872169.89,68.86,2026-02-10,26822.0,71.16,68.86,70.79
2012063.99,70.7,2026-02-11,28592.0,71.32,68.71,68.9
9816325.4,76.3,2026-02-12,128540.0,78.88,70.54,70.54
