amount,close,date,volume,high,low,open
20012313.07,38.64,2025-11-19,510515.0,40.31,38.5,40.15
17780117.71,37.65,2025-11-20,466319.0,39.09,37.59,37.91
40352157.61,40.3,2025-11-23,1003254.0,41.38,38.5,38.5
31438542.35,40.26,2025-11-24,776862.0,41.16,39.51,39.78
48809434.24,42.37,2025-11-25,1169166.0,42.84,39.61,40.02
32278217.32,42.14,2025-11-26,758510.0,43.42,42.01,42.13
22176022.77,41.32,2025-11-27,538674.0,41.99,40.74,41.78
21541615.38,41.51,2025-11-30,521878.0,42.09,40.6,41.32
15824713.66,40.3,2025-12-01,390617.0,41.19,40.25,41.09
7671750.33,39.61,2025-12-02,192941.0,40.68,39.22,40.12
12039782.48,39.86,2025-12-03,304274.0,40.28,38.86,39.5
5874495.81,39.9,2025-12-04,147756.0,40.3,39.38,40.04
17653211.64,40.48,2025-12-07,438220.0,40.91,39.9,39.9
14761900.63,40.76,2025-12-08,363974.0,40.96,40.06,40.18
16756941.24,40.8,2025-12-09,414590.0,41.15,39.86,40.41
14744737.41,39.66,2025-12-10,368151.0,40.69,39.6,40.66
21989928.24,40.69,2025-12-11,535409.0,42.18,39.47,39.47
17663228.17,39.8,2025-12-14,439252.0,40.86,39.8,40.51
14418654.38,38.2,2025-12-15,378337.0,39.55,37.57,39.55
13379177.81,38.44,2025-12-16,351924.0,38.68,37.29,37.98
22043812.86,38.08,2025-12-17,560751.0,40.3,38.06,39.42
13061788.39,38.01,2025-12-18,342539.0,38.45,37.9,38.01
12356666.5,38.54,2025-12-21,320010.0,38.95,38.16,38.17
18545847.07,39.3,2025-12-22,471411.0,39.77,38.72,38.85
24748210.79,40.53,2025-12-23,616114.0,40.98,39.03,39.06
37002918.89,42.48,2025-12-24,888549.0,43.79,39.84,40.35
30843624.12,41.14,2025-12-25,740750.0,42.49,41.04,42.49
35359295.97,42.48,2025-12-28,830667.0,43.24,41.83,41.88
15320650.65,41.17,2025-12-29,369882.0,41.98,41.01,41.98
38724372.79,43.9,2025-12-30,897552.0,45.0,40.87,41.27
35408764.67,44.08,2026-01-04,794477.0,45.5,44.0,44.2
31750677.92,44.52,2026-01-05,716231.0,44.88,43.78,43.81
65329465.54,46.83,2026-01-06,1429384.0,47.83,44.38,44.98
44139532.2,46.75,2026-01-07,945339.0,47.77,45.76,45.86
49084647.43,47.54,2026-01-08,1017785.0,49.31,47.16,48.56
46246846.25,47.15,2026-01-11,973694.0,48.64,46.89,47.55
34664452.01,45.36,2026-01-12,747366.0,48.11,45.19,46.88
24020348.19,44.99,2026-01-13,527738.0,46.55,44.53,45.44
16837942.23,44.97,2026-01-14,376495.0,45.22,44.29,44.58
16062913.41,45.49,2026-01-15,353071.0,45.84,45.12,45.5
11090916.61,44.89,2026-01-18,245987.0,45.49,44.65,45.36
15852003.49,44.5,2026-01-19,353128.0,46.1,44.16,44.73
14404542.5,45.2,2026-01-20,320511.0,45.75,43.78,43.88
16105912.05,44.32,2026-01-21,361806.0,45.35,44.12,45.2
13980862.48,45.14,2026-01-22,311321.0,45.32,44.6,44.97
15042729.03,43.26,2026-01-25,343811.0,45.1,43.01,45.1
8993060.26,43.24,2026-01-26,211316.0,43.35,41.84,43.0
8890106.14,42.65,2026-01-27,208322.0,43.08,42.3,43.06
9402613.21,42.33,2026-01-28,221340.0,43.01,41.87,42.27
7376103.43,41.57,2026-01-29,176251.0,42.43,41.24,42.11
8911316.79,40.0,2026-02-01,218586.0,41.43,39.98,41.03
6671148.75,40.87,2026-02-02,164202.0,40.93,40.15,40.32
5025391.79,40.76,2026-02-03,123794.0,40.94,40.26,40.44
5775920.22,40.47,2026-02-04,142403.0,40.89,40.31,40.4
5082083.36,40.25,2026-02-05,125845.0,40.66,40.01,40.11
6860681.09,41.09,2026-02-08,167561.0,41.15,40.62,40.62
5862308.65,40.66,2026-02-09,143405.0,41.25,40.62,40.99
4190971.93,40.3,2026-02-10,103595.0,40.77,40.3,40.66
4813120.85,40.32,2026-02-11,119308.0,40.57,40.15,40.15
8196913.76,40.33,2026-02-12,201381.0,41.23,40.18,40.21
