amount,close,date,volume,high,low,open
3625530.39,42.16,2025-11-19,86099.0,42.53,41.68,42.28
3819822.5,40.8,2025-11-20,92079.0,42.29,40.8,41.83
8679973.83,43.4,2025-11-23,202591.0,43.76,40.99,40.99
8156555.72,47.74,2025-11-24,170954.0,47.74,47.38,47.64
23499361.13,48.57,2025-11-25,487126.0,49.75,46.8,47.03
16966608.56,49.71,2025-11-26,341477.0,51.21,47.42,47.53
30973126.03,53.1,2025-11-27,590564.0,54.68,48.95,49.98
22344930.43,53.49,2025-11-30,420521.0,53.97,51.96,53.0
17891002.21,50.8,2025-12-01,349035.0,53.4,50.31,52.79
11769210.88,51.07,2025-12-02,228820.0,52.87,49.89,50.73
8230429.35,50.65,2025-12-03,163176.0,51.69,49.68,50.99
5508104.66,52.52,2025-12-04,106582.0,53.27,49.88,51.0
12576026.06,57.77,2025-12-07,222620.0,57.77,52.47,53.0
37863548.78,60.99,2025-12-08,616573.0,62.92,60.0,60.0
32685564.57,64.12,2025-12-09,518758.0,64.73,60.53,61.01
26292995.3,63.03,2025-12-10,410250.0,65.42,63.02,63.22
19316712.51,64.15,2025-12-11,303858.0,65.0,61.81,63.18
17708974.39,62.32,2025-12-14,281629.0,65.0,61.97,63.51
10351717.84,60.26,2025-12-15,170090.0,63.05,59.81,62.74
14491803.3,62.54,2025-12-16,235955.0,62.87,60.01,60.32
11121231.47,62.5,2025-12-17,178096.0,63.35,61.31,62.18
14143555.15,59.9,2025-12-18,234579.0,63.01,59.45,62.95
12011776.78,59.99,2025-12-21,199035.0,61.58,59.6,60.93
10616389.68,59.99,2025-12-22,177340.0,61.21,58.86,59.65
14501369.91,59.23,2025-12-23,247536.0,59.89,57.77,59.28
16155416.3,59.08,2025-12-24,270318.0,62.86,58.59,60.86
12917862.44,57.97,2025-12-25,222965.0,59.2,57.05,59.0
9596558.33,57.8,2025-12-28,165305.0,58.83,57.37,57.83
5351263.75,57.38,2025-12-29,92904.0,58.26,57.04,57.35
6642982.02,56.34,2025-12-30,117312.0,57.64,56.14,57.2
7334123.19,57.33,2026-01-04,128657.0,57.49,56.19,56.42
12013859.84,58.16,2026-01-05,207307.0,58.78,56.98,57.0
29755067.39,61.31,2026-01-06,482178.0,63.98,58.15,58.15
30055701.52,66.34,2026-01-07,452896.0,67.37,63.11,63.11
27367288.29,69.41,2026-01-08,416993.0,69.85,61.73,63.69
35057717.81,72.12,2026-01-11,475512.0,75.88,71.39,72.2
18063014.66,70.89,2026-01-12,254749.0,74.18,68.49,71.36
19514729.89,70.36,2026-01-13,274759.0,72.75,68.24,71.0
14710789.53,69.13,2026-01-14,216379.0,70.22,66.53,70.22
13981014.93,70.57,2026-01-15,196613.0,72.68,69.32,71.59
12241645.4,71.35,2026-01-18,170466.0,73.08,69.83,71.02
9135693.79,68.36,2026-01-19,132351.0,71.35,67.59,71.0
9944042.15,69.95,2026-01-20,141261.0,72.04,67.51,67.51
9273294.13,69.35,2026-01-21,133873.0,70.65,68.42,70.25
8538477.12,68.06,2026-01-22,124889.0,69.5,67.8,69.48
7606611.0,66.46,2026-01-25,114019.0,68.27,65.9,67.77
10769014.56,70.3,2026-01-26,155394.0,71.28,66.91,66.99
10375982.08,71.3,2026-01-27,146456.0,71.97,69.58,70.3
10743309.98,66.88,2026-01-28,157320.0,71.44,66.66,71.31
13744899.36,70.18,2026-01-29,200378.0,71.55,64.8,66.8
11637295.2,65.63,2026-02-01,171858.0,71.13,65.63,70.01
13296768.99,70.41,2026-02-02,190342.0,70.97,67.36,67.5
9816065.83,71.27,2026-02-03,140376.0,71.37,68.01,69.99
13898928.86,67.8,2026-02-04,204438.0,70.98,66.15,70.12
6817341.34,66.9,2026-02-05,101278.0,68.65,65.83,67.0
13034532.6,70.74,2026-02-08,184962.0,71.78,67.5,67.84
6348408.67,69.25,2026-02-09,90949.0,71.8,69.0,70.74
8631283.11,70.7,2026-02-10,121867.0,72.16,68.88,69.29
13776304.12,74.03,2026-02-11,187696.0,74.66,70.2,70.71
11763857.89,71.09,2026-02-12,163936.0,74.25,71.0,74.25
