amount,close,date,volume,high,low,open
3490143.15,5.42,2025-11-25,641285.0,5.47,5.41,5.45
3533922.39,5.39,2025-11-26,654322.0,5.42,5.38,5.41
6468467.6,5.43,2025-11-27,1202794.0,5.43,5.31,5.38
9132553.44,5.34,2025-11-30,1710901.0,5.36,5.32,5.35
6290521.89,5.27,2025-12-01,1191491.0,5.33,5.25,5.32
2165499.1,5.27,2025-12-02,410848.0,5.3,5.25,5.26
3912731.03,5.24,2025-12-03,745377.0,5.28,5.22,5.27
1905145.24,5.31,2025-12-04,361940.0,5.32,5.22,5.23
4410442.07,5.3,2025-12-07,830446.0,5.34,5.29,5.32
4306211.21,5.22,2025-12-08,821403.0,5.3,5.22,5.29
5121299.62,5.25,2025-12-09,981507.0,5.27,5.18,5.22
4175545.24,5.2,2025-12-10,795861.0,5.28,5.2,5.26
4591634.25,5.26,2025-12-11,875941.0,5.27,5.2,5.21
3638828.59,5.24,2025-12-14,691845.0,5.29,5.23,5.24
2853306.14,5.16,2025-12-15,550216.0,5.25,5.16,5.24
4391428.74,5.21,2025-12-16,846914.0,5.23,5.14,5.16
2832613.74,5.2,2025-12-17,544268.0,5.22,5.18,5.19
4654851.83,5.25,2025-12-18,887592.0,5.26,5.19,5.2
3658616.35,5.25,2025-12-21,696640.0,5.27,5.24,5.26
6164233.12,5.24,2025-12-22,1168400.0,5.32,5.23,5.26
5371151.08,5.29,2025-12-23,1015594.0,5.33,5.26,5.26
2777275.66,5.28,2025-12-24,525988.0,5.29,5.27,5.28
4275258.21,5.27,2025-12-25,810561.0,5.3,5.25,5.29
4038374.48,5.25,2025-12-28,766598.0,5.29,5.24,5.27
3011076.89,5.21,2025-12-29,576649.0,5.25,5.21,5.24
3221132.58,5.2,2025-12-30,619699.0,5.22,5.18,5.21
3974173.45,5.24,2026-01-04,761413.0,5.24,5.2,5.2
9182520.79,5.33,2026-01-05,1735427.0,5.33,5.23,5.24
8687490.04,5.32,2026-01-06,1624239.0,5.39,5.31,5.32
8037808.78,5.37,2026-01-07,1496856.0,5.39,5.3,5.32
7833343.3,5.38,2026-01-08,1458110.0,5.39,5.35,5.37
10967003.58,5.41,2026-01-11,2037436.0,5.41,5.36,5.38
16896068.8,5.51,2026-01-12,3084872.0,5.56,5.37,5.42
13508405.05,5.43,2026-01-13,2458647.0,5.57,5.41,5.55
7309902.2,5.36,2026-01-14,1359554.0,5.43,5.35,5.42
48080767.48,5.78,2026-01-15,8316990.0,5.9,5.45,5.45
36445956.95,5.84,2026-01-18,6263134.0,5.92,5.62,5.75
55803298.68,6.25,2026-01-19,9153797.0,6.36,5.76,5.85
30352560.9,6.04,2026-01-20,4989457.0,6.19,6.02,6.1
27333407.07,5.92,2026-01-21,4590514.0,6.08,5.88,6.01
24340533.61,5.97,2026-01-22,4083130.0,6.07,5.87,5.94
16903949.98,5.98,2026-01-25,2832826.0,6.07,5.9,5.98
14205040.43,5.78,2026-01-26,2445848.0,5.95,5.75,5.95
21190490.31,5.72,2026-01-27,3655129.0,5.89,5.72,5.76
20124041.84,5.68,2026-01-28,3551069.0,5.76,5.61,5.71
15358172.22,5.66,2026-01-29,2716535.0,5.72,5.57,5.65
17288941.93,5.56,2026-02-01,3034994.0,5.8,5.56,5.71
8949189.53,5.59,2026-02-02,1605151.0,5.62,5.54,5.59
9544285.68,5.68,2026-02-03,1693618.0,5.68,5.56,5.58
10702855.07,5.55,2026-02-04,1917045.0,5.66,5.55,5.65
7542628.29,5.52,2026-02-05,1365756.0,5.57,5.47,5.51
7471469.09,5.54,2026-02-08,1344469.0,5.59,5.53,5.55
7197247.0,5.5,2026-02-09,1309698.0,5.55,5.47,5.54
4716213.79,5.49,2026-02-10,858518.0,5.51,5.48,5.49
7335654.47,5.53,2026-02-11,1326732.0,5.56,5.48,5.49
9256560.21,5.44,2026-02-12,1693462.0,5.52,5.44,5.52
16951987.39,5.64,2026-02-23,3028740.0,5.65,5.48,5.49
19665465.94,5.62,2026-02-24,3464706.0,5.78,5.61,5.63
12525038.75,5.68,2026-02-25,2210911.0,5.72,5.62,5.62
17524674.75,5.73,2026-02-26,3068685.0,5.74,5.65,5.66
