amount,close,date,volume,high,low,open
106352063.16,72.83,2025-11-25,1492207.0,73.65,67.5,68.0
75123810.73,70.13,2025-11-26,1044012.0,73.89,69.95,71.36
35758764.04,69.45,2025-11-27,516398.0,70.35,68.17,69.88
56954383.64,72.09,2025-11-30,797536.0,72.8,69.2,69.65
34140608.42,70.93,2025-12-01,477306.0,72.68,70.53,71.95
26350635.97,71.54,2025-12-02,362972.0,73.75,70.83,70.85
29016273.66,70.77,2025-12-03,410896.0,72.12,69.4,70.85
21082728.38,68.53,2025-12-04,305898.0,71.0,68.03,71.0
51775295.04,71.26,2025-12-07,735641.0,72.0,67.75,68.6
76920707.05,73.85,2025-12-08,1051672.0,75.43,70.46,70.81
50780493.4,72.59,2025-12-09,709279.0,73.98,70.0,73.3
33726124.32,70.42,2025-12-10,470259.0,73.14,70.4,72.21
33729110.16,70.77,2025-12-11,479425.0,72.15,68.18,70.29
32591414.31,68.63,2025-12-14,469941.0,71.39,68.24,69.53
23767783.25,68.39,2025-12-15,345901.0,69.84,67.6,68.0
48066859.61,71.99,2025-12-16,683016.0,72.0,68.29,68.45
45338792.82,68.11,2025-12-17,657980.0,70.33,68.05,70.33
26136432.34,67.52,2025-12-18,384221.0,69.18,67.5,69.0
57508690.35,71.39,2025-12-21,814328.0,71.96,68.35,68.35
43371493.21,71.42,2025-12-22,601094.0,73.67,70.92,71.39
47691558.77,73.21,2025-12-23,656731.0,73.92,71.0,72.52
30598109.02,72.44,2025-12-24,421200.0,73.9,71.65,73.14
29749514.54,71.78,2025-12-25,414560.0,73.3,70.6,72.3
76942804.97,76.74,2025-12-28,1025435.0,77.64,71.39,71.65
33070677.67,74.59,2025-12-29,436155.0,77.52,74.53,76.5
37997937.76,73.07,2025-12-30,514010.0,76.05,72.6,75.43
52356154.2,75.95,2026-01-04,702906.0,76.34,72.71,73.8
57903520.34,73.7,2026-01-05,785988.0,75.25,72.56,75.0
43975595.52,73.52,2026-01-06,598574.0,74.87,72.44,73.21
51184156.64,71.23,2026-01-07,710531.0,73.93,70.89,73.17
46482241.18,70.0,2026-01-08,667554.0,70.96,68.6,70.16
48154776.95,69.12,2026-01-11,702061.0,69.88,67.31,69.8
42510645.39,69.44,2026-01-12,601665.0,72.0,69.01,70.34
60470255.07,73.62,2026-01-13,831707.0,74.88,70.0,70.0
46932413.73,75.75,2026-01-14,633486.0,75.8,72.6,73.23
54951950.32,77.0,2026-01-15,716547.0,79.43,74.69,76.01
34541903.23,75.31,2026-01-18,456079.0,77.3,74.7,76.29
48077931.56,71.13,2026-01-19,666960.0,74.91,70.77,74.91
42860047.2,74.0,2026-01-20,582635.0,75.41,70.9,71.01
59841213.81,76.34,2026-01-21,785998.0,77.0,74.95,75.6
60747314.83,72.1,2026-01-22,831054.0,76.79,71.8,76.5
24034460.22,71.65,2026-01-25,336264.0,72.08,70.83,71.8
30519402.12,71.59,2026-01-26,426465.0,73.46,69.66,71.3
41122749.59,72.03,2026-01-27,564015.0,74.12,71.82,73.03
42425746.57,69.15,2026-01-28,606910.0,71.8,68.9,71.8
26108062.85,69.75,2026-01-29,375380.0,70.35,68.32,68.35
25581597.14,69.07,2026-02-01,363828.0,71.49,69.01,69.47
26130167.35,69.58,2026-02-02,379386.0,70.43,67.47,70.0
33076147.12,66.35,2026-02-03,496347.0,68.58,65.99,68.58
26675234.77,65.97,2026-02-04,402136.0,67.28,65.01,65.5
44697013.88,69.16,2026-02-05,646770.0,70.95,65.06,65.06
34166286.97,71.59,2026-02-08,476624.0,73.08,70.08,70.7
25107187.71,72.26,2026-02-09,346063.0,73.3,71.43,71.51
24809250.09,69.41,2026-02-10,353125.0,72.56,69.31,71.76
23505201.37,68.95,2026-02-11,342193.0,69.63,67.73,69.41
27099975.18,69.17,2026-02-12,389409.0,70.77,67.93,68.53
49796843.88,72.36,2026-02-23,692435.0,72.9,69.01,70.01
87328795.21,77.6,2026-02-24,1154300.0,77.86,73.0,73.0
115583707.22,85.36,2026-02-25,1386610.0,85.36,78.7,78.99
98532218.06,83.6,2026-02-26,1175529.0,85.66,82.7,85.36
