amount,close,date,volume,high,low,open
753304.07,18.54,2025-11-25,39754.0,19.25,18.51,18.85
782920.17,19.59,2025-11-26,40701.0,19.66,18.41,18.76
1118401.11,19.74,2025-11-27,56847.0,19.97,19.35,19.47
990022.5,19.89,2025-11-30,49263.0,20.43,19.67,19.67
659662.56,20.06,2025-12-01,32793.0,20.4,19.81,19.83
472328.82,19.7,2025-12-02,23707.0,20.3,19.65,20.17
478991.54,19.3,2025-12-03,24675.0,19.89,19.21,19.7
683616.28,20.11,2025-12-04,34568.0,20.33,19.01,19.3
518751.22,20.07,2025-12-07,25826.0,20.47,19.89,20.3
347409.74,19.87,2025-12-08,17427.0,20.17,19.8,20.17
435500.94,19.74,2025-12-09,22034.0,20.01,19.55,19.83
413282.65,19.03,2025-12-10,21405.0,19.87,18.97,19.8
421377.19,18.76,2025-12-11,22273.0,19.42,18.65,19.01
397203.11,19.14,2025-12-14,20785.0,19.38,18.67,18.84
386849.8,19.39,2025-12-15,20202.0,19.63,18.69,19.09
564616.9,19.25,2025-12-16,29355.0,19.58,19.02,19.4
1152711.74,20.18,2025-12-17,57179.0,20.9,19.09,19.3
987176.9,20.65,2025-12-18,47974.0,20.89,20.2,20.49
600615.29,20.19,2025-12-21,29544.0,20.79,20.1,20.68
507126.17,20.05,2025-12-22,25360.0,20.19,19.8,20.12
439235.51,20.27,2025-12-23,21781.0,20.4,19.88,20.09
336209.55,20.13,2025-12-24,16714.0,20.25,19.97,20.25
488766.65,19.56,2025-12-25,24692.0,20.2,19.47,20.04
389588.04,19.73,2025-12-28,19957.0,19.78,19.16,19.56
363248.14,19.57,2025-12-29,18454.0,19.92,19.41,19.66
353180.05,19.34,2025-12-30,18260.0,19.74,19.18,19.6
373752.7,19.29,2026-01-04,19273.0,19.7,19.17,19.47
447738.38,19.23,2026-01-05,23172.0,19.59,19.14,19.35
453629.08,19.23,2026-01-06,23769.0,19.29,18.85,19.23
399465.04,19.4,2026-01-07,20660.0,19.54,19.06,19.15
559241.98,19.17,2026-01-08,29106.0,19.5,18.97,19.49
797375.06,19.85,2026-01-11,40803.0,19.96,18.98,19.41
543716.05,19.52,2026-01-12,27434.0,20.33,19.46,20.11
438068.98,19.72,2026-01-13,22273.0,19.97,19.3,19.62
338974.57,19.83,2026-01-14,17081.0,20.13,19.68,19.85
298249.36,19.68,2026-01-15,15117.0,19.96,19.6,19.96
883566.75,21.65,2026-01-18,42048.0,21.65,19.64,19.64
2965453.02,21.61,2026-01-19,136618.0,22.68,21.12,21.6
1353780.26,21.79,2026-01-20,62077.0,22.21,21.51,21.94
1380771.42,21.2,2026-01-21,64803.0,21.91,21.11,21.88
867335.49,21.45,2026-01-22,40889.0,21.57,20.92,21.4
721696.55,20.83,2026-01-25,34251.0,21.65,20.61,21.6
635937.85,21.0,2026-01-26,30510.0,21.13,20.32,20.82
618666.02,20.98,2026-01-27,29459.0,21.36,20.71,21.06
1103522.93,21.62,2026-01-28,50861.0,22.41,20.75,21.0
2183219.52,22.65,2026-01-29,96559.0,23.76,21.9,22.21
1681009.72,23.2,2026-02-01,73169.0,23.66,21.8,21.8
1562038.26,24.4,2026-02-02,65158.0,24.49,23.2,23.34
961716.13,24.51,2026-02-03,39309.0,24.82,23.96,24.52
1240467.42,25.1,2026-02-04,49633.0,25.34,24.46,24.51
907574.45,25.04,2026-02-05,36153.0,25.55,24.3,24.86
1075428.21,24.93,2026-02-08,43549.0,25.23,23.91,24.98
1145592.19,25.4,2026-02-09,44880.0,26.0,24.71,24.81
793577.5,25.0,2026-02-10,31114.0,25.93,25.0,25.35
771429.91,24.76,2026-02-11,30836.0,25.59,24.7,25.26
980898.34,25.25,2026-02-12,38943.0,25.5,24.41,24.76
755173.22,25.39,2026-02-23,29995.0,25.51,24.71,25.26
703915.09,24.85,2026-02-24,27908.0,25.95,24.83,25.39
905168.54,24.86,2026-02-25,36290.0,25.28,24.75,25.0
638631.69,24.74,2026-02-26,25880.0,25.18,24.36,25.01
