amount,close,date,volume,high,low,open
1200136.64,20.14,2025-11-25,59550.0,20.24,20.04,20.06
870033.74,20.18,2025-11-26,43070.0,20.3,20.1,20.14
923536.58,20.26,2025-11-27,45670.0,20.28,20.11,20.17
1848221.09,20.31,2025-11-30,91061.0,20.39,20.19,20.24
1014309.33,20.23,2025-12-01,50157.0,20.3,20.16,20.28
340195.36,20.17,2025-12-02,16840.0,20.27,20.17,20.23
1077678.22,20.25,2025-12-03,53309.0,20.33,20.11,20.21
728684.02,20.41,2025-12-04,35937.0,20.45,20.1,20.2
1750341.05,20.39,2025-12-07,85606.0,20.59,20.36,20.46
1803076.23,20.11,2025-12-08,89366.0,20.4,20.1,20.4
1569234.87,20.15,2025-12-09,77951.0,20.21,20.03,20.07
2092040.78,19.88,2025-12-10,104613.0,20.22,19.82,20.2
2386047.5,20.13,2025-12-11,118567.0,20.26,19.83,19.91
1779784.31,19.92,2025-12-14,89379.0,20.1,19.83,20.03
1069919.05,19.92,2025-12-15,53856.0,19.99,19.66,19.91
1710246.26,20.05,2025-12-16,85772.0,20.09,19.77,19.84
1484456.53,20.19,2025-12-17,73693.0,20.22,19.95,19.99
1897426.64,20.32,2025-12-18,92929.0,20.78,20.27,20.31
1405187.81,20.38,2025-12-21,68971.0,20.47,20.31,20.35
1196875.92,20.18,2025-12-22,59031.0,20.46,20.13,20.38
1159717.72,20.33,2025-12-23,57166.0,20.37,20.17,20.24
1547510.9,20.49,2025-12-24,75662.0,20.57,20.28,20.35
1633414.89,20.55,2025-12-25,79549.0,20.68,20.37,20.43
1433818.8,20.42,2025-12-28,69906.0,20.63,20.41,20.54
1103731.42,20.67,2025-12-29,53601.0,20.7,20.37,20.39
1297390.37,20.62,2025-12-30,62887.0,20.75,20.53,20.75
1835080.1,20.57,2026-01-04,89415.0,20.64,20.44,20.62
2142585.04,20.74,2026-01-05,103487.0,20.79,20.59,20.61
2065840.49,20.52,2026-01-06,100333.0,20.76,20.5,20.76
2566825.6,20.38,2026-01-07,125429.0,20.58,20.35,20.5
2542761.22,20.64,2026-01-08,123470.0,20.74,20.38,20.38
3222466.43,20.73,2026-01-11,156330.0,20.75,20.48,20.62
2531778.13,20.51,2026-01-12,122569.0,20.83,20.46,20.79
2370900.26,20.44,2026-01-13,115395.0,20.76,20.3,20.48
1253497.77,20.48,2026-01-14,61358.0,20.52,20.33,20.38
2868115.13,20.78,2026-01-15,138355.0,20.88,20.52,20.52
3179850.96,21.26,2026-01-18,150841.0,21.26,20.85,20.85
2598381.08,21.35,2026-01-19,122402.0,21.43,21.1,21.26
2092059.94,21.42,2026-01-20,97824.0,21.53,21.3,21.36
3226046.84,21.58,2026-01-21,149193.0,21.85,21.4,21.44
2641474.4,21.75,2026-01-22,121483.0,21.91,21.59,21.59
2826701.41,21.5,2026-01-25,131270.0,21.93,21.38,21.85
2177629.19,21.6,2026-01-26,101386.0,21.76,21.13,21.48
1809960.63,21.59,2026-01-27,83925.0,21.67,21.44,21.55
5393022.4,22.22,2026-01-28,245492.0,22.28,21.45,21.53
3462653.96,21.41,2026-01-29,160447.0,22.11,21.21,22.11
2683721.64,20.68,2026-02-01,127674.0,21.5,20.66,21.34
1373944.59,20.94,2026-02-02,65740.0,21.04,20.71,20.95
1456803.58,21.17,2026-02-03,68849.0,21.33,20.84,20.85
1376911.44,20.85,2026-02-04,65831.0,21.14,20.79,21.11
1319351.55,20.64,2026-02-05,63534.0,20.95,20.57,20.72
1347572.0,20.9,2026-02-08,64459.0,20.99,20.79,20.85
1128321.96,20.76,2026-02-09,54225.0,20.95,20.76,20.93
1678969.58,21.0,2026-02-10,79814.0,21.22,20.8,20.8
2160358.73,21.34,2026-02-11,101501.0,21.46,21.02,21.02
2309221.6,20.75,2026-02-12,110165.0,21.25,20.7,21.25
3545604.09,21.4,2026-02-23,166484.0,21.54,21.01,21.08
10714714.33,23.54,2026-02-24,466087.0,23.54,21.48,21.5
22385904.72,24.89,2026-02-25,909483.0,25.53,23.63,23.78
12563679.12,25.39,2026-02-26,495444.0,25.99,24.25,24.25
