amount,close,date,volume,high,low,open
548038.21,4.28,2025-11-25,126492.0,4.41,4.27,4.28
608227.55,4.26,2025-11-26,142514.0,4.31,4.2,4.28
609729.82,4.4,2025-11-27,141183.0,4.4,4.22,4.24
560230.21,4.38,2025-11-30,127163.0,4.47,4.36,4.4
438060.6,4.37,2025-12-01,100926.0,4.38,4.28,4.36
532273.01,4.31,2025-12-02,123143.0,4.39,4.28,4.37
617039.85,4.22,2025-12-03,145468.0,4.33,4.19,4.32
489377.17,4.24,2025-12-04,116281.0,4.25,4.16,4.2
483968.51,4.26,2025-12-07,113426.0,4.29,4.24,4.25
675504.23,4.19,2025-12-08,161332.0,4.23,4.14,4.23
795178.54,4.16,2025-12-09,190985.0,4.21,4.12,4.18
796685.68,4.02,2025-12-10,195447.0,4.18,4.02,4.16
600174.41,3.99,2025-12-11,148879.0,4.07,3.99,4.04
638297.71,3.97,2025-12-14,160731.0,4.02,3.92,3.98
428033.96,3.88,2025-12-15,109572.0,3.99,3.87,3.97
606155.28,3.9,2025-12-16,157283.0,3.91,3.8,3.88
468414.76,3.9,2025-12-17,119819.0,3.94,3.85,3.88
590651.85,4.02,2025-12-18,148767.0,4.02,3.88,3.92
576526.41,4.09,2025-12-21,141680.0,4.11,4.01,4.03
880127.46,4.12,2025-12-22,212310.0,4.28,4.09,4.1
909823.15,4.21,2025-12-23,217393.0,4.26,4.09,4.12
565882.47,4.13,2025-12-24,136732.0,4.23,4.11,4.23
530702.2,4.15,2025-12-25,128198.0,4.17,4.11,4.13
432099.38,4.12,2025-12-28,104643.0,4.18,4.1,4.16
338505.82,4.08,2025-12-29,82663.0,4.14,4.06,4.1
499281.21,4.13,2025-12-30,121875.0,4.15,4.03,4.12
615838.55,4.1,2026-01-04,149867.0,4.14,4.08,4.13
666329.78,4.11,2026-01-05,162251.0,4.14,4.08,4.1
521878.2,4.07,2026-01-06,127789.0,4.12,4.06,4.11
986289.42,4.16,2026-01-07,237531.0,4.23,4.05,4.07
656618.84,4.22,2026-01-08,157169.0,4.23,4.13,4.16
682416.23,4.21,2026-01-11,162476.0,4.24,4.17,4.22
612996.55,4.16,2026-01-12,145588.0,4.25,4.15,4.21
501045.89,4.18,2026-01-13,120171.0,4.21,4.12,4.17
390417.07,4.13,2026-01-14,94038.0,4.19,4.12,4.17
1877080.0,4.37,2026-01-15,438362.0,4.47,4.1,4.17
900673.22,4.35,2026-01-18,206705.0,4.42,4.28,4.31
927218.23,4.42,2026-01-19,210662.0,4.44,4.31,4.35
680810.41,4.44,2026-01-20,154616.0,4.45,4.35,4.38
974914.49,4.52,2026-01-21,218379.0,4.52,4.4,4.45
777622.31,4.53,2026-01-22,171426.0,4.58,4.48,4.52
945174.42,4.44,2026-01-25,212061.0,4.53,4.41,4.53
529680.69,4.41,2026-01-26,121040.0,4.45,4.3,4.44
3923082.96,4.85,2026-01-27,817517.0,4.85,4.38,4.46
5812007.36,4.44,2026-01-28,1294105.0,4.8,4.37,4.8
3798912.56,4.25,2026-01-29,891472.0,4.42,4.13,4.37
2021931.58,4.16,2026-02-01,471256.0,4.55,4.16,4.25
1402691.91,4.21,2026-02-02,332093.0,4.29,4.18,4.27
1229439.39,4.3,2026-02-03,287672.0,4.31,4.2,4.24
1052698.58,4.32,2026-02-04,242094.0,4.41,4.29,4.31
945208.29,4.33,2026-02-05,217799.0,4.39,4.26,4.3
891234.77,4.43,2026-02-08,201449.0,4.47,4.35,4.37
676083.24,4.44,2026-02-09,152347.0,4.47,4.38,4.44
635257.03,4.42,2026-02-10,143209.0,4.47,4.39,4.43
631595.99,4.33,2026-02-11,144383.0,4.44,4.33,4.42
706014.44,4.35,2026-02-12,161825.0,4.39,4.33,4.33
781818.23,4.47,2026-02-23,176286.0,4.47,4.37,4.37
731827.61,4.51,2026-02-24,162417.0,4.53,4.45,4.46
772117.93,4.45,2026-02-25,173167.0,4.53,4.42,4.52
370097.72,4.48,2026-02-26,83298.0,4.49,4.41,4.44
