amount,close,date,volume,high,low,open
729565.39,12.65,2025-11-25,57116.0,12.92,12.64,12.81
433122.61,12.67,2025-11-26,34138.0,12.76,12.59,12.65
491845.8,12.78,2025-11-27,38796.0,12.78,12.55,12.68
634843.25,12.88,2025-11-30,49382.0,12.9,12.74,12.76
471715.61,12.8,2025-12-01,36912.0,12.88,12.73,12.88
397553.73,12.7,2025-12-02,31248.0,12.84,12.63,12.8
563509.58,12.6,2025-12-03,44685.0,12.78,12.5,12.69
315628.23,12.65,2025-12-04,25151.0,12.68,12.45,12.6
758497.85,12.48,2025-12-07,60513.0,12.7,12.45,12.66
812359.54,12.25,2025-12-08,66002.0,12.49,12.23,12.48
2174900.79,12.83,2025-12-09,171054.0,13.09,12.24,12.24
8109278.73,13.95,2025-12-10,583544.0,14.11,12.8,12.8
9763278.29,14.7,2025-12-11,674737.0,15.09,13.8,13.8
4502651.01,14.44,2025-12-14,312935.0,14.69,14.05,14.69
3082187.58,14.32,2025-12-15,209706.0,15.11,14.3,14.45
5506251.4,15.16,2025-12-16,365915.0,15.54,14.19,14.26
3744892.38,14.89,2025-12-17,248817.0,15.46,14.82,15.07
3690050.4,15.06,2025-12-18,247764.0,15.33,14.5,14.74
4812529.61,15.84,2025-12-21,300384.0,16.41,15.01,15.05
4327508.07,15.19,2025-12-22,275162.0,16.5,15.12,15.95
3610221.07,15.65,2025-12-23,231818.0,15.88,15.2,15.2
4888608.09,16.53,2025-12-24,297197.0,16.86,15.46,15.46
5335211.56,18.18,2025-12-25,303945.0,18.18,16.61,16.61
6096240.77,17.19,2025-12-28,348442.0,18.46,16.95,17.95
4761745.39,16.79,2025-12-29,285965.0,17.16,16.19,17.16
2674741.14,16.84,2025-12-30,158702.0,17.32,16.5,16.72
3565533.74,17.05,2026-01-04,204403.0,18.21,16.82,17.5
4846843.24,17.95,2026-01-05,273350.0,18.16,16.78,16.88
3416848.99,17.46,2026-01-06,197679.0,17.98,17.05,17.98
2420591.66,17.33,2026-01-07,140989.0,17.47,16.87,17.36
2601288.31,16.9,2026-01-08,153467.0,17.44,16.7,17.24
3811468.83,16.47,2026-01-11,231913.0,16.98,16.07,16.66
2342304.65,15.76,2026-01-12,144945.0,16.77,15.73,16.36
2054896.73,16.09,2026-01-13,128079.0,16.37,15.61,15.76
2629914.86,17.7,2026-01-14,154742.0,17.7,16.01,16.05
4912801.81,17.96,2026-01-15,274497.0,18.34,17.51,18.04
3402133.19,19.76,2026-01-18,178317.0,19.76,17.85,17.96
5643718.47,18.68,2026-01-19,298353.0,19.76,18.5,19.76
4209943.77,19.56,2026-01-20,216266.0,20.0,18.56,18.67
7985619.42,21.52,2026-01-21,384602.0,21.52,19.16,19.56
4341119.3,21.22,2026-01-22,202806.0,22.0,21.03,21.5
3884980.56,21.0,2026-01-25,179991.0,22.48,20.89,21.23
3450332.08,20.26,2026-01-26,170433.0,20.96,19.81,20.8
1058931.03,22.29,2026-01-27,47507.0,22.29,22.29,22.29
6495737.38,24.52,2026-01-28,269269.0,24.52,23.02,23.3
7432786.26,23.73,2026-01-29,312450.0,25.1,22.93,24.35
6322350.98,22.08,2026-02-01,278531.0,23.68,22.0,22.56
5771542.35,21.29,2026-02-02,268235.0,23.32,20.7,22.8
3977001.48,20.7,2026-02-03,193807.0,21.18,20.01,21.08
3190478.73,19.66,2026-02-04,161015.0,20.6,19.42,20.4
3200362.38,19.9,2026-02-05,160246.0,20.52,19.06,19.3
3799977.09,19.85,2026-02-08,195121.0,20.2,18.8,20.2
1803841.78,19.21,2026-02-09,92265.0,20.01,19.19,19.66
3220840.44,21.13,2026-02-10,158952.0,21.13,19.06,19.17
2922871.61,20.4,2026-02-11,142641.0,21.13,20.22,21.13
2830396.71,19.13,2026-02-12,144321.0,20.4,19.06,20.39
4426057.74,19.93,2026-02-23,222770.0,20.45,19.25,19.25
3406096.05,20.58,2026-02-24,166039.0,21.07,19.58,19.92
2542531.61,20.1,2026-02-25,125939.0,20.98,19.88,20.59
3195695.41,20.81,2026-02-26,155827.0,21.17,19.94,20.17
