amount,close,date,volume,high,low,open
504982.91,8.78,2025-11-25,57436.0,8.89,8.66,8.68
388334.52,8.73,2025-11-26,44261.0,8.85,8.7,8.78
494559.22,8.67,2025-11-27,57265.0,8.73,8.55,8.69
285698.11,8.68,2025-11-30,32750.0,8.8,8.64,8.78
257062.89,8.7,2025-12-01,29712.0,8.71,8.56,8.67
170649.31,8.58,2025-12-02,19822.0,8.73,8.56,8.73
274266.15,8.33,2025-12-03,32629.0,8.61,8.3,8.6
134101.51,8.42,2025-12-04,16087.0,8.43,8.25,8.33
282679.78,8.39,2025-12-07,33514.0,8.5,8.36,8.42
237840.3,8.3,2025-12-08,28477.0,8.44,8.29,8.43
320645.73,8.42,2025-12-09,38225.0,8.48,8.29,8.31
269522.68,8.25,2025-12-10,32518.0,8.42,8.22,8.42
243452.03,8.35,2025-12-11,29315.0,8.35,8.2,8.34
386607.94,8.33,2025-12-14,46125.0,8.51,8.24,8.28
129042.55,8.29,2025-12-15,15562.0,8.38,8.23,8.35
219177.41,8.24,2025-12-16,26583.0,8.32,8.17,8.22
328483.59,8.3,2025-12-17,39494.0,8.42,8.0,8.23
791125.22,8.72,2025-12-18,91880.0,8.78,8.27,8.33
891798.99,8.93,2025-12-21,100010.0,9.11,8.67,8.73
579974.01,9.0,2025-12-22,64589.0,9.1,8.83,8.93
715822.29,9.13,2025-12-23,78998.0,9.17,8.99,9.0
776933.7,9.31,2025-12-24,82858.0,9.6,9.13,9.15
487771.22,9.07,2025-12-25,53378.0,9.35,9.02,9.27
305915.06,9.03,2025-12-28,33897.0,9.09,8.94,9.07
270682.77,8.9,2025-12-29,30199.0,9.12,8.88,9.03
220298.02,8.87,2025-12-30,24882.0,8.93,8.8,8.91
307711.77,8.8,2026-01-04,35024.0,8.91,8.71,8.9
414900.85,8.71,2026-01-05,47564.0,8.81,8.68,8.8
415145.53,8.62,2026-01-06,47960.0,8.78,8.58,8.75
353483.74,8.64,2026-01-07,41138.0,8.66,8.52,8.62
490359.27,8.58,2026-01-08,57151.0,8.69,8.51,8.65
673594.48,8.64,2026-01-11,78567.0,8.64,8.53,8.6
531541.74,8.54,2026-01-12,61520.0,8.79,8.53,8.64
519429.44,8.41,2026-01-13,61376.0,8.58,8.31,8.5
325786.7,8.44,2026-01-14,38626.0,8.51,8.37,8.44
245572.65,8.37,2026-01-15,29267.0,8.48,8.36,8.44
242967.11,8.45,2026-01-18,28754.0,8.5,8.36,8.38
593396.36,8.65,2026-01-19,68830.0,8.76,8.42,8.49
251240.82,8.65,2026-01-20,29235.0,8.69,8.52,8.6
395818.55,8.7,2026-01-21,45660.0,8.72,8.6,8.69
604177.13,8.65,2026-01-22,69858.0,8.76,8.58,8.72
514422.32,8.69,2026-01-25,60144.0,8.69,8.43,8.64
467028.39,8.8,2026-01-26,53512.0,8.83,8.58,8.66
1052275.98,8.99,2026-01-27,116368.0,9.28,8.76,8.76
1310430.15,9.23,2026-01-28,139552.0,9.69,8.93,8.96
800659.81,9.37,2026-01-29,85850.0,9.44,9.12,9.18
719328.48,9.05,2026-02-01,78280.0,9.32,9.05,9.29
427580.89,9.11,2026-02-02,47084.0,9.16,8.97,9.16
581578.21,9.47,2026-02-03,62694.0,9.48,9.08,9.12
422998.83,9.37,2026-02-04,44824.0,9.56,9.36,9.42
577963.36,9.5,2026-02-05,60300.0,9.77,9.3,9.3
369946.82,9.49,2026-02-08,39152.0,9.57,9.35,9.55
263451.19,9.4,2026-02-09,27926.0,9.51,9.36,9.5
209398.32,9.34,2026-02-10,22355.0,9.41,9.31,9.38
296653.44,9.28,2026-02-11,31800.0,9.48,9.26,9.35
302705.58,9.09,2026-02-12,32968.0,9.37,9.08,9.37
423030.29,9.22,2026-02-23,46279.0,9.3,8.99,9.13
383038.47,9.26,2026-02-24,41224.0,9.42,9.17,9.22
290857.98,9.09,2026-02-25,31881.0,9.28,9.06,9.27
187815.1,9.18,2026-02-26,20597.0,9.19,9.03,9.08
