amount,close,date,volume,high,low,open
452570.9,6.33,2025-11-25,71407.0,6.39,6.25,6.28
570140.56,6.42,2025-11-26,89024.0,6.45,6.31,6.33
743741.88,6.54,2025-11-27,115316.0,6.54,6.32,6.4
738945.39,6.5,2025-11-30,113798.0,6.57,6.44,6.5
701029.39,6.53,2025-12-01,107645.0,6.56,6.43,6.48
458550.56,6.47,2025-12-02,70540.0,6.56,6.46,6.55
541396.54,6.33,2025-12-03,85045.0,6.48,6.3,6.47
438671.38,6.44,2025-12-04,68775.0,6.45,6.26,6.33
473151.08,6.36,2025-12-07,74040.0,6.48,6.34,6.46
1099616.3,6.28,2025-12-08,175575.0,6.41,6.2,6.35
914980.51,6.36,2025-12-09,143465.0,6.45,6.31,6.32
949191.1,6.12,2025-12-10,154012.0,6.38,6.08,6.38
814489.16,5.98,2025-12-11,134890.0,6.12,5.97,6.12
615324.19,6.06,2025-12-14,101766.0,6.14,5.96,5.96
693362.06,6.22,2025-12-15,111051.0,6.34,6.08,6.08
993739.63,6.26,2025-12-16,158071.0,6.37,6.15,6.28
1122877.12,6.41,2025-12-17,176374.0,6.45,6.2,6.23
4271722.02,7.05,2025-12-18,623910.0,7.05,6.38,6.43
5209991.93,6.86,2025-12-21,761623.0,6.96,6.76,6.8
2916067.74,6.75,2025-12-22,432776.0,6.84,6.66,6.75
2060825.09,6.69,2025-12-23,308691.0,6.75,6.57,6.74
1813444.94,6.69,2025-12-24,272390.0,6.74,6.57,6.73
2173378.27,6.77,2025-12-25,321957.0,6.83,6.64,6.66
1740614.65,6.57,2025-12-28,263557.0,6.8,6.49,6.8
1375089.98,6.45,2025-12-29,212991.0,6.63,6.34,6.63
968347.95,6.39,2025-12-30,151681.0,6.48,6.31,6.45
872206.05,6.46,2026-01-04,136050.0,6.46,6.35,6.4
1105995.39,6.49,2026-01-05,170774.0,6.57,6.41,6.43
822747.76,6.42,2026-01-06,128049.0,6.47,6.38,6.46
760713.61,6.43,2026-01-07,118497.0,6.48,6.33,6.4
1607512.36,6.56,2026-01-08,247244.0,6.58,6.42,6.44
1357128.8,6.55,2026-01-11,208388.0,6.55,6.47,6.55
1161875.68,6.41,2026-01-12,177859.0,6.62,6.41,6.53
848983.73,6.37,2026-01-13,132731.0,6.48,6.29,6.41
682811.04,6.36,2026-01-14,107165.0,6.43,6.31,6.34
591526.98,6.29,2026-01-15,93701.0,6.39,6.26,6.37
578108.24,6.48,2026-01-18,90229.0,6.48,6.27,6.28
893533.57,6.59,2026-01-19,136386.0,6.63,6.44,6.48
560847.38,6.6,2026-01-20,85744.0,6.6,6.47,6.55
646252.54,6.62,2026-01-21,97892.0,6.62,6.55,6.58
622783.95,6.62,2026-01-22,94266.0,6.63,6.58,6.62
659680.38,6.55,2026-01-25,101252.0,6.61,6.45,6.61
407829.82,6.45,2026-01-26,63438.0,6.55,6.34,6.53
474741.03,6.42,2026-01-27,73721.0,6.48,6.4,6.43
450366.51,6.42,2026-01-28,70159.0,6.48,6.32,6.41
750908.92,6.53,2026-01-29,116050.0,6.53,6.38,6.4
730788.52,6.49,2026-02-01,111374.0,6.64,6.46,6.51
559218.61,6.5,2026-02-02,85956.0,6.56,6.46,6.53
858192.42,6.66,2026-02-03,129440.0,6.69,6.47,6.47
810936.88,6.72,2026-02-04,121293.0,6.73,6.6,6.65
679682.88,6.66,2026-02-05,102083.0,6.72,6.6,6.68
622901.61,6.68,2026-02-08,93165.0,6.77,6.64,6.68
418872.98,6.67,2026-02-09,62863.0,6.71,6.59,6.67
650970.24,6.67,2026-02-10,97446.0,6.72,6.63,6.67
647937.73,6.52,2026-02-11,98820.0,6.66,6.5,6.66
583671.33,6.53,2026-02-12,89181.0,6.61,6.5,6.52
527511.31,6.55,2026-02-23,80888.0,6.58,6.47,6.54
534068.44,6.56,2026-02-24,80968.0,6.66,6.54,6.57
627966.59,6.44,2026-02-25,96771.0,6.59,6.41,6.55
299203.94,6.45,2026-02-26,46384.0,6.48,6.42,6.42
