amount,close,date,volume,high,low,open
1964901.86,3.84,2025-11-25,509522.0,3.93,3.77,3.78
1142647.04,3.74,2025-11-26,303564.0,3.81,3.74,3.81
1383481.57,3.86,2025-11-27,362616.0,3.88,3.71,3.73
866673.58,3.84,2025-11-30,226188.0,3.86,3.82,3.86
691642.76,3.84,2025-12-01,180867.0,3.85,3.79,3.83
286360.09,3.82,2025-12-02,75038.0,3.84,3.8,3.83
552622.22,3.81,2025-12-03,144734.0,3.84,3.8,3.82
264064.38,3.85,2025-12-04,69215.0,3.85,3.78,3.81
737192.14,3.8,2025-12-07,193418.0,3.85,3.79,3.83
586233.32,3.74,2025-12-08,156130.0,3.79,3.73,3.79
574374.49,3.74,2025-12-09,153846.0,3.75,3.71,3.73
687989.65,3.7,2025-12-10,185708.0,3.75,3.69,3.74
580256.7,3.66,2025-12-11,157537.0,3.71,3.66,3.69
574143.83,3.65,2025-12-14,156998.0,3.68,3.62,3.64
420662.29,3.59,2025-12-15,117063.0,3.66,3.57,3.65
587048.98,3.61,2025-12-16,163943.0,3.62,3.55,3.57
443278.45,3.58,2025-12-17,123029.0,3.63,3.58,3.62
780367.02,3.67,2025-12-18,214553.0,3.67,3.58,3.58
420609.73,3.68,2025-12-21,114356.0,3.69,3.66,3.68
377220.67,3.68,2025-12-22,102767.0,3.7,3.65,3.66
415161.47,3.69,2025-12-23,112627.0,3.7,3.66,3.67
447048.87,3.7,2025-12-24,120638.0,3.72,3.69,3.7
625814.43,3.7,2025-12-25,168657.0,3.73,3.69,3.7
649998.15,3.68,2025-12-28,175527.0,3.74,3.67,3.71
366061.16,3.62,2025-12-29,100670.0,3.67,3.61,3.67
425807.14,3.6,2025-12-30,118092.0,3.64,3.59,3.63
633563.43,3.61,2026-01-04,175319.0,3.64,3.6,3.6
780472.92,3.67,2026-01-05,213260.0,3.69,3.61,3.62
613117.04,3.63,2026-01-06,167932.0,3.69,3.63,3.68
591497.77,3.65,2026-01-07,162159.0,3.66,3.62,3.63
668040.13,3.67,2026-01-08,182286.0,3.68,3.64,3.66
940840.14,3.69,2026-01-11,255581.0,3.7,3.66,3.67
827622.67,3.72,2026-01-12,223429.0,3.74,3.67,3.7
971246.83,3.7,2026-01-13,262382.0,3.74,3.65,3.72
477679.99,3.68,2026-01-14,129890.0,3.7,3.66,3.67
792623.67,3.7,2026-01-15,213000.0,3.75,3.69,3.69
506713.12,3.73,2026-01-18,136201.0,3.74,3.68,3.69
1304662.67,3.81,2026-01-19,345585.0,3.81,3.72,3.73
778798.01,3.76,2026-01-20,206206.0,3.81,3.76,3.79
791372.99,3.81,2026-01-21,208707.0,3.82,3.76,3.77
814528.99,3.83,2026-01-22,212676.0,3.85,3.81,3.82
858586.01,3.83,2026-01-25,224801.0,3.85,3.79,3.84
726615.69,3.77,2026-01-26,193279.0,3.82,3.72,3.82
709877.96,3.8,2026-01-27,187170.0,3.83,3.74,3.76
1410197.24,3.81,2026-01-28,368118.0,3.93,3.76,3.77
890014.87,3.81,2026-01-29,234526.0,3.84,3.75,3.77
861736.43,3.71,2026-02-01,229102.0,3.8,3.71,3.79
830154.75,3.71,2026-02-02,222180.0,3.77,3.71,3.74
1085724.34,3.79,2026-02-03,288546.0,3.79,3.7,3.71
1502452.12,3.79,2026-02-04,394169.0,3.92,3.77,3.82
821383.22,3.78,2026-02-05,217112.0,3.81,3.75,3.76
870577.62,3.81,2026-02-08,228359.0,3.84,3.79,3.8
632552.05,3.78,2026-02-09,167354.0,3.81,3.77,3.8
464544.43,3.78,2026-02-10,122711.0,3.8,3.76,3.77
536220.73,3.78,2026-02-11,141929.0,3.8,3.76,3.79
844246.58,3.71,2026-02-12,225904.0,3.78,3.7,3.77
1175350.28,3.82,2026-02-23,309574.0,3.83,3.73,3.73
897463.84,3.85,2026-02-24,232923.0,3.88,3.8,3.82
1058326.16,3.88,2026-02-25,273941.0,3.89,3.83,3.86
929991.2,3.92,2026-02-26,238032.0,3.93,3.85,3.86
