amount,close,date,volume,high,low,open
974274.91,8.59,2025-11-24,116510.0,8.59,8.13,8.16
568704.2,9.02,2025-11-25,63473.0,9.02,8.85,8.89
96186.79,9.47,2025-11-26,10157.0,9.47,9.47,9.47
74102.7,9.94,2025-11-27,7455.0,9.94,9.94,9.94
81745.2,10.44,2025-11-30,7830.0,10.44,10.44,10.44
2200568.0,10.96,2025-12-01,200828.0,10.96,10.86,10.96
4150726.31,11.42,2025-12-02,372617.0,11.51,10.55,11.51
1642107.98,10.85,2025-12-03,150353.0,11.2,10.85,11.03
1100027.08,10.31,2025-12-04,106395.0,10.52,10.31,10.45
1556817.97,10.14,2025-12-07,152326.0,10.69,9.95,10.65
1558526.82,10.37,2025-12-08,150123.0,10.56,10.18,10.3
550668.69,9.82,2025-12-09,55427.0,10.17,9.82,10.17
133381.68,9.33,2025-12-10,14296.0,9.33,9.33,9.33
1578370.02,8.86,2025-12-11,177726.0,9.04,8.86,8.86
1344009.09,8.78,2025-12-14,151320.0,9.27,8.49,8.6
774123.2,8.56,2025-12-15,89888.0,8.99,8.44,8.84
1034160.41,8.67,2025-12-16,121407.0,8.81,8.28,8.55
1521336.96,8.83,2025-12-17,169583.0,9.12,8.65,8.67
1092368.46,9.04,2025-12-18,123726.0,9.12,8.56,8.61
1019976.13,9.37,2025-12-21,110381.0,9.47,9.04,9.1
981965.05,9.02,2025-12-22,107606.0,9.33,9.0,9.3
841849.21,9.12,2025-12-23,92852.0,9.2,8.9,9.0
988107.79,9.27,2025-12-24,107407.0,9.37,9.02,9.06
1334368.75,9.3,2025-12-25,142109.0,9.62,9.26,9.43
1531730.18,9.44,2025-12-28,161980.0,9.67,9.21,9.3
1400541.2,9.1,2025-12-29,152344.0,9.45,9.0,9.45
4787.8,7.4,2026-01-04,647.0,7.4,7.4,7.4
3978.24,7.77,2026-01-05,512.0,7.77,7.77,7.77
1068.96,8.16,2026-01-06,131.0,8.16,8.16,8.16
2013.95,8.57,2026-01-07,235.0,8.57,8.57,8.57
927.0,9.0,2026-01-08,103.0,9.0,9.0,9.0
6955.2,9.45,2026-01-11,736.0,9.45,9.45,9.45
1211174.79,9.92,2026-01-12,122143.0,9.92,9.83,9.92
104971.08,10.42,2026-01-13,10074.0,10.42,10.42,10.42
1075953.62,9.9,2026-01-14,106092.0,10.42,9.9,10.42
2399818.45,10.03,2026-01-15,235415.0,10.4,9.99,9.99
879327.79,9.53,2026-01-18,92222.0,9.62,9.53,9.54
1183800.4,9.17,2026-01-19,129227.0,9.55,9.05,9.55
787042.99,9.01,2026-01-20,86548.0,9.26,8.94,9.17
786392.59,9.03,2026-01-21,86490.0,9.27,8.93,9.01
809047.22,9.08,2026-01-22,89064.0,9.33,8.95,9.01
997505.25,8.89,2026-01-25,112219.0,9.28,8.68,9.28
482767.29,9.0,2026-01-26,53838.0,9.08,8.85,8.86
650227.24,8.64,2026-01-27,73900.0,9.07,8.56,8.98
519328.31,8.48,2026-01-28,60392.0,8.75,8.43,8.6
722818.94,8.53,2026-01-29,85887.0,8.69,8.26,8.29
468097.21,8.3,2026-02-01,55567.0,8.61,8.25,8.3
473491.75,8.72,2026-02-02,55543.0,8.72,8.28,8.39
630362.03,8.71,2026-02-03,71271.0,8.98,8.7,8.98
515327.05,8.66,2026-02-04,59619.0,8.79,8.5,8.66
362166.86,8.54,2026-02-05,42276.0,8.66,8.47,8.65
411399.83,8.51,2026-02-08,48213.0,8.65,8.4,8.48
352036.91,8.51,2026-02-09,41505.0,8.56,8.38,8.53
979046.4,8.16,2026-02-10,119975.0,8.29,8.08,8.08
739999.77,8.57,2026-02-11,88696.0,8.57,8.16,8.17
705141.27,8.59,2026-02-12,81951.0,8.74,8.45,8.57
476121.05,8.58,2026-02-23,54840.0,8.83,8.54,8.57
715093.92,8.7,2026-02-24,83142.0,8.82,8.45,8.51
1242215.95,8.91,2026-02-25,138286.0,9.14,8.62,8.67
645815.18,8.89,2026-02-26,72423.0,9.08,8.73,8.82
