amount,close,date,volume,high,low,open
211021.0,50.02,2025-11-25,4206.0,50.98,49.74,50.98
175920.08,50.44,2025-11-26,3474.0,50.99,49.77,50.0
393548.38,52.2,2025-11-27,7642.0,52.28,50.06,50.34
227393.55,51.61,2025-11-30,4399.0,52.8,51.5,52.31
159714.39,50.89,2025-12-01,3136.0,51.95,50.52,51.4
132820.6,51.01,2025-12-02,2605.0,51.89,50.6,51.14
146419.59,50.38,2025-12-03,2895.0,51.3,50.23,51.3
130990.3,50.37,2025-12-04,2602.0,51.3,49.58,50.57
129915.57,50.57,2025-12-07,2570.0,50.99,50.09,50.37
95048.83,50.31,2025-12-08,1885.0,50.71,50.13,50.51
235676.31,49.95,2025-12-09,4720.0,50.5,49.55,50.11
140071.4,49.3,2025-12-10,2829.0,50.2,49.2,50.2
129956.91,49.61,2025-12-11,2630.0,49.89,49.11,49.31
164259.94,49.54,2025-12-14,3328.0,49.65,49.15,49.54
74107.51,48.93,2025-12-15,1514.0,49.4,48.59,49.21
119153.23,49.76,2025-12-16,2420.0,49.88,47.89,47.89
142047.72,50.09,2025-12-17,2829.0,50.58,49.28,49.72
98013.47,50.17,2025-12-18,1951.0,50.48,49.62,50.34
41929.39,49.89,2025-12-21,843.0,49.94,49.66,49.72
102019.31,49.9,2025-12-22,2052.0,50.2,49.39,50.2
97066.76,49.99,2025-12-23,1941.0,50.4,49.7,50.01
275560.17,50.87,2025-12-24,5421.0,51.9,49.81,50.5
238869.76,49.93,2025-12-25,4766.0,51.0,49.51,51.0
151495.32,49.84,2025-12-28,3026.0,50.58,49.62,50.36
109911.49,49.54,2025-12-29,2216.0,50.15,49.21,49.55
139498.87,49.4,2025-12-30,2825.0,49.84,49.11,49.84
206508.72,50.65,2026-01-04,4095.0,51.1,49.6,49.6
240999.94,50.17,2026-01-05,4777.0,51.38,49.85,50.79
217956.79,50.96,2026-01-06,4283.0,51.38,50.01,50.17
247725.05,51.42,2026-01-07,4810.0,52.2,50.51,50.51
897662.92,54.66,2026-01-08,16715.0,54.96,51.42,51.42
657608.8,52.73,2026-01-11,12330.0,55.82,52.01,55.82
390711.76,51.87,2026-01-12,7516.0,52.86,51.54,52.86
315350.19,51.62,2026-01-13,6149.0,52.5,50.69,51.87
274777.28,52.75,2026-01-14,5241.0,52.93,51.5,51.98
279782.67,53.06,2026-01-15,5291.0,53.7,52.21,52.86
220144.05,53.03,2026-01-18,4132.0,53.8,52.75,53.04
292534.69,53.77,2026-01-19,5464.0,54.12,52.82,52.97
509947.17,56.22,2026-01-20,9166.0,56.8,53.34,53.68
349021.39,56.4,2026-01-21,6226.0,56.84,55.16,56.84
294913.6,57.41,2026-01-22,5174.0,57.8,56.05,56.45
445504.96,56.11,2026-01-25,7863.0,58.49,55.5,57.44
265759.22,55.29,2026-01-26,4809.0,56.95,54.31,56.95
426137.13,52.67,2026-01-27,7920.0,55.56,52.57,55.56
428221.34,53.11,2026-01-28,8018.0,54.6,51.67,52.33
240922.13,53.87,2026-01-29,4480.0,54.3,52.65,53.11
381627.7,53.59,2026-02-01,6960.0,56.0,53.4,54.16
204977.07,54.52,2026-02-02,3799.0,54.75,53.15,54.75
198424.52,53.88,2026-02-03,3647.0,55.63,53.69,55.37
360026.37,54.89,2026-02-04,6543.0,55.88,53.83,54.14
192898.92,55.14,2026-02-05,3495.0,55.82,54.28,54.28
383673.66,55.05,2026-02-08,6959.0,56.46,54.36,55.36
205751.68,53.71,2026-02-09,3821.0,55.11,53.2,54.91
134396.07,53.75,2026-02-10,2504.0,54.0,53.36,53.6
253345.19,53.07,2026-02-11,4739.0,54.99,52.75,54.99
224675.17,53.18,2026-02-12,4218.0,53.76,52.36,53.1
363658.52,54.49,2026-02-23,6633.0,55.65,53.21,53.21
161153.87,54.12,2026-02-24,2983.0,54.6,53.6,54.44
151338.44,54.6,2026-02-25,2774.0,55.11,54.14,54.4
144701.6,54.22,2026-02-26,2675.0,55.0,53.68,54.58
