amount,close,date,volume,high,low,open
1428075.4,9.43,2025-11-25,151419.0,9.51,9.32,9.34
800814.03,9.35,2025-11-26,85325.0,9.44,9.3,9.37
864435.8,9.46,2025-11-27,92054.0,9.46,9.28,9.35
861724.41,9.48,2025-11-30,91094.0,9.5,9.42,9.47
619066.04,9.39,2025-12-01,65900.0,9.44,9.33,9.44
512420.25,9.31,2025-12-02,54927.0,9.42,9.28,9.33
575372.99,9.21,2025-12-03,62488.0,9.3,9.14,9.24
334138.44,9.31,2025-12-04,36246.0,9.32,9.14,9.21
810204.7,9.41,2025-12-07,86544.0,9.42,9.3,9.31
1453340.32,9.31,2025-12-08,155315.0,9.51,9.25,9.51
1121702.43,9.41,2025-12-09,119582.0,9.45,9.29,9.29
1240510.2,9.05,2025-12-10,135654.0,9.41,9.04,9.41
494220.02,9.03,2025-12-11,54549.0,9.11,9.03,9.06
1515471.86,9.16,2025-12-14,164505.0,9.43,8.98,9.03
2775559.72,9.31,2025-12-15,292089.0,9.94,9.25,9.45
2444323.85,8.98,2025-12-16,271301.0,9.18,8.85,9.17
1405846.85,8.82,2025-12-17,157401.0,9.08,8.81,8.87
1677979.48,9.17,2025-12-18,186152.0,9.18,8.8,8.82
1162658.31,9.11,2025-12-21,127030.0,9.27,9.09,9.15
1189114.96,8.93,2025-12-22,132518.0,9.12,8.9,9.09
1707477.57,9.19,2025-12-23,187065.0,9.26,8.88,8.91
1747465.13,9.35,2025-12-24,188622.0,9.37,9.08,9.11
1856867.23,9.41,2025-12-25,197552.0,9.5,9.31,9.5
1331583.31,9.44,2025-12-28,141015.0,9.53,9.34,9.34
692779.99,9.34,2025-12-29,74010.0,9.43,9.32,9.37
1023165.75,9.4,2025-12-30,109444.0,9.44,9.22,9.35
979089.59,9.43,2026-01-04,104172.0,9.44,9.31,9.4
1617577.95,9.5,2026-01-05,170630.0,9.56,9.42,9.43
1186067.75,9.34,2026-01-06,126142.0,9.53,9.32,9.49
1619531.39,9.56,2026-01-07,170798.0,9.56,9.31,9.33
1821867.81,9.71,2026-01-08,188374.0,9.74,9.55,9.56
2181401.73,9.9,2026-01-11,221885.0,9.92,9.68,9.7
1379793.89,9.58,2026-01-12,142336.0,9.89,9.55,9.89
1472757.62,9.51,2026-01-13,153583.0,9.77,9.35,9.58
1132665.67,9.37,2026-01-14,120776.0,9.51,9.3,9.51
952932.68,9.38,2026-01-15,101138.0,9.57,9.31,9.42
990056.14,9.58,2026-01-18,103595.0,9.64,9.33,9.38
884858.24,9.5,2026-01-19,93078.0,9.6,9.42,9.58
1372019.35,9.68,2026-01-20,142039.0,9.75,9.41,9.47
1371011.73,9.74,2026-01-21,141536.0,9.75,9.56,9.65
1480820.0,9.87,2026-01-22,150438.0,9.91,9.71,9.71
1596961.37,9.72,2026-01-25,161522.0,10.2,9.62,10.05
1017836.2,9.66,2026-01-26,106224.0,9.77,9.44,9.67
840583.34,9.48,2026-01-27,88192.0,9.69,9.45,9.59
1477781.34,9.16,2026-01-28,159949.0,9.4,9.11,9.36
1073400.57,9.02,2026-01-29,118330.0,9.23,8.96,9.16
862956.18,8.91,2026-02-01,95635.0,9.17,8.9,8.97
947543.34,9.13,2026-02-02,104059.0,9.24,8.95,8.95
1317543.04,9.28,2026-02-03,143765.0,9.33,9.02,9.09
1005044.53,9.16,2026-02-04,109052.0,9.33,9.11,9.19
739868.64,9.08,2026-02-05,81405.0,9.15,9.02,9.09
881520.65,9.23,2026-02-08,95560.0,9.29,9.16,9.18
466697.53,9.25,2026-02-09,50454.0,9.28,9.19,9.23
609242.98,9.27,2026-02-10,65623.0,9.33,9.22,9.25
787282.03,9.09,2026-02-11,86161.0,9.3,9.06,9.28
765318.58,9.06,2026-02-12,83773.0,9.21,9.05,9.09
589085.97,9.1,2026-02-23,64762.0,9.15,9.04,9.14
1433509.76,9.27,2026-02-24,153732.0,9.56,9.1,9.1
1179671.23,9.08,2026-02-25,129291.0,9.29,9.06,9.26
482621.67,9.08,2026-02-26,53276.0,9.1,9.02,9.05
