amount,close,date,volume,high,low,open
956144.64,2.47,2025-11-25,384387.0,2.51,2.47,2.47
576265.4,2.48,2025-11-26,232608.0,2.49,2.46,2.48
1132830.86,2.48,2025-11-27,457222.0,2.49,2.46,2.47
1199387.52,2.5,2025-11-30,480116.0,2.51,2.48,2.49
1095619.73,2.5,2025-12-01,440567.0,2.51,2.47,2.51
467981.23,2.5,2025-12-02,187871.0,2.51,2.48,2.49
1019015.51,2.47,2025-12-03,411726.0,2.5,2.46,2.5
560892.97,2.48,2025-12-04,227548.0,2.48,2.45,2.47
1167921.62,2.44,2025-12-07,475987.0,2.48,2.44,2.48
956523.15,2.41,2025-12-08,394888.0,2.45,2.41,2.45
723695.18,2.42,2025-12-09,300270.0,2.42,2.39,2.41
953568.16,2.38,2025-12-10,398102.0,2.42,2.37,2.41
763879.77,2.34,2025-12-11,322924.0,2.39,2.34,2.39
877316.57,2.35,2025-12-14,372354.0,2.37,2.34,2.34
505294.43,2.33,2025-12-15,217008.0,2.36,2.31,2.36
797164.53,2.34,2025-12-16,343431.0,2.35,2.3,2.32
751420.43,2.35,2025-12-17,319115.0,2.37,2.34,2.35
820663.65,2.36,2025-12-18,347242.0,2.38,2.34,2.35
667391.38,2.37,2025-12-21,281623.0,2.38,2.36,2.37
689991.94,2.34,2025-12-22,292952.0,2.38,2.34,2.38
631699.22,2.35,2025-12-23,269887.0,2.36,2.32,2.34
563184.2,2.35,2025-12-24,239778.0,2.36,2.34,2.35
730596.27,2.35,2025-12-25,310270.0,2.37,2.34,2.35
769562.88,2.35,2025-12-28,326888.0,2.37,2.34,2.35
683571.92,2.33,2025-12-29,293353.0,2.35,2.32,2.34
619514.24,2.31,2025-12-30,267685.0,2.34,2.3,2.33
667410.67,2.34,2026-01-04,286936.0,2.34,2.31,2.32
1175890.1,2.36,2026-01-05,499080.0,2.37,2.33,2.34
1934897.25,2.39,2026-01-06,812515.0,2.4,2.35,2.38
1382724.16,2.38,2026-01-07,578374.0,2.41,2.37,2.4
1501332.17,2.39,2026-01-08,628773.0,2.4,2.37,2.38
1728193.11,2.38,2026-01-11,729613.0,2.39,2.35,2.38
1071882.2,2.37,2026-01-12,452810.0,2.38,2.36,2.38
1018629.29,2.35,2026-01-13,430758.0,2.38,2.35,2.36
665540.17,2.34,2026-01-14,284240.0,2.36,2.33,2.35
779655.94,2.31,2026-01-15,335466.0,2.35,2.31,2.33
510728.35,2.34,2026-01-18,219528.0,2.34,2.31,2.31
872557.74,2.36,2026-01-19,372208.0,2.36,2.33,2.34
800966.36,2.34,2026-01-20,342205.0,2.36,2.33,2.36
1911705.14,2.4,2026-01-21,803545.0,2.41,2.33,2.34
1283838.66,2.4,2026-01-22,535531.0,2.41,2.38,2.4
1306934.87,2.44,2026-01-25,540777.0,2.44,2.39,2.41
960121.45,2.38,2026-01-26,401417.0,2.43,2.36,2.43
2184780.34,2.49,2026-01-27,893415.0,2.5,2.37,2.38
1877949.93,2.5,2026-01-28,755588.0,2.51,2.46,2.48
2195702.76,2.48,2026-01-29,871979.0,2.58,2.46,2.49
2016430.7,2.36,2026-02-01,836957.0,2.46,2.36,2.46
1141184.84,2.4,2026-02-02,476618.0,2.43,2.36,2.39
2447240.39,2.54,2026-02-03,982511.0,2.54,2.41,2.41
1949770.4,2.48,2026-02-04,785940.0,2.5,2.46,2.5
1054479.46,2.47,2026-02-05,425984.0,2.5,2.44,2.47
1062534.41,2.47,2026-02-08,428505.0,2.5,2.46,2.49
1301683.5,2.49,2026-02-09,523665.0,2.52,2.44,2.47
1018074.62,2.52,2026-02-10,405701.0,2.53,2.47,2.5
1119481.77,2.5,2026-02-11,446930.0,2.54,2.49,2.52
1286456.0,2.45,2026-02-12,520684.0,2.51,2.44,2.49
1807209.21,2.52,2026-02-23,717344.0,2.54,2.47,2.48
2264757.69,2.55,2026-02-24,880771.0,2.61,2.52,2.52
1686318.24,2.53,2026-02-25,662283.0,2.59,2.52,2.56
2170493.42,2.63,2026-02-26,837649.0,2.63,2.52,2.52
